fault_number,d2_trigger,switching_mean,dominance_mean,d2_ratio,pair_concentration,dominant_pair,lead_time_mean
1,1.0,0.27206507936507934,0.8730130753968254,2.9845418647456934,0.892,XMEAS7-XMEAS11,-28.78
2,0.108,0.40902891865079366,0.8123769642857143,1.1577429752628787,0.372,XMEAS8-XMEAS9,-292.5925925925926
3,0.096,0.4066484623015873,0.8142517559523809,1.1408044494239464,0.406,XMEAS8-XMEAS9,-205.0
4,0.15,0.40950297619047615,0.814372380952381,1.2072361482372478,0.306,XMEAS8-XMEAS9,-302.6666666666667
5,0.988,0.33576264880952383,0.8487455753968254,1.8971278097445525,0.626,XMEAS7-XMEAS11,-67.34817813765183
6,1.0,0.057346974206349204,0.9721591865079365,8.460421082507635,1.0,XMEAS7-XMEAS9,-68.28
7,1.0,0.2784730158730159,0.8671340476190476,4.206915613819333,0.836,XMEAS7-XMEAS11,-5.56
8,1.0,0.06482852182539682,0.9682226587301588,9.738180205909803,1.0,XMEAS7-XMEAS11,-68.46
9,0.096,0.4054848710317461,0.8149142559523811,1.137665769020613,0.402,XMEAS8-XMEAS9,-216.66666666666666
10,0.13,0.3971735119047619,0.8208756448412698,1.1909124823852824,0.368,XMEAS8-XMEAS9,-302.15384615384613
11,0.392,0.32452023809523817,0.8767091865079366,1.5364340521701767,0.928,XMEAS7-XMEAS9,-336.5816326530612
12,1.0,0.17803333333333332,0.9550123115079365,3.679833859617047,0.754,XMEAS9-XMEAS11,-142.1
13,1.0,0.09401805555555556,0.9546784226190477,10.525955518477325,0.992,XMEAS7-XMEAS11,-87.36
14,1.0,0.06056527777777778,0.9714484226190476,5.739357330710254,0.818,XMEAS7-XMEAS11,-44.9
15,0.092,0.41355615079365077,0.81063501984127,1.1434367513356083,0.404,XMEAS8-XMEAS9,-243.04347826086956
16,0.1,0.4038397321428572,0.8156005753968254,1.1486112932764605,0.402,XMEAS8-XMEAS9,-234.2
17,1.0,0.20403139880952384,0.9551272420634921,3.37797961084755,0.952,XMEAS7-XMEAS9,-121.36
18,1.0,0.14084330357142857,0.9514316865079365,7.775973948660882,0.702,XMEAS7-XMEAS9,-120.5
19,0.426,0.3479688988095238,0.8710509226190477,1.5659535541835685,0.854,XMEAS7-XMEAS9,-337.5586854460094
20,0.478,0.35508323412698417,0.8782019642857143,1.6887558289164326,0.694,XMEAS7-XMEAS11,-323.72384937238496
