fault_number,typical_edge_count,typical_edge_entropy,max_edge,max_edge_mass,self_loop_mass,cycle_mass
0,34,0.8297218786619985,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.161236108526796,0.5916279415101687,0.40837205848983127
1,28,0.7673249763210694,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.22917533336303206,0.6764122722351054,0.32358772776489464
2,35,0.8291274407988043,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.16109285042350902,0.5906706552505093,0.4093293447494907
3,34,0.8297371112556805,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.1623278401829951,0.5916749243636508,0.40832507563634923
4,37,0.8360152252131096,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.12774928833512586,0.5894458013642596,0.4105541986357404
5,32,0.7634307925974863,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.23030739438654385,0.6587936929744258,0.3412063070255742
6,1,0.0,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.9858107473148502,0.9900671844256907,0.00993281557430925
7,30,0.7999840247904647,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.17576422467604597,0.652667390366943,0.347332609633057
8,1,0.0,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.9900676817077702,0.992959404461359,0.0070405955386410035
9,34,0.8281090492369064,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.16252731040472354,0.5922482032100937,0.40775179678990625
10,36,0.827997053961757,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.1489029859144878,0.6026340153405434,0.3973659846594566
11,21,0.6986786620432861,XMEAS7-XMEAS9 -> XMEAS7-XMEAS9,0.3984499744675463,0.6890396535533067,0.31096034644669335
12,3,0.646412930576167,XMEAS9-XMEAS11 -> XMEAS9-XMEAS11,0.5605357532806968,0.863710776230644,0.13628922376935604
13,1,0.0,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.9442461125243506,0.9665448383523371,0.033455161647662934
14,1,0.0,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.9952897256780361,0.9965956017893682,0.003404398210631765
15,35,0.8305437580651521,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.15864548485113078,0.5848653273938895,0.4151346726061105
16,36,0.8293608898588631,XMEAS8-XMEAS9 -> XMEAS8-XMEAS9,0.16032039263731276,0.5949319722103461,0.4050680277896539
17,2,0.9960496912770846,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.4325689538677695,0.8339594538220365,0.1660405461779635
18,2,0.6956381742973041,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.7375582910754837,0.9227079177165651,0.07729208228343487
19,21,0.758570772438703,XMEAS7-XMEAS9 -> XMEAS7-XMEAS9,0.30735523144316346,0.6622094234565252,0.3377905765434748
20,24,0.7995391080440816,XMEAS7-XMEAS11 -> XMEAS7-XMEAS11,0.22701776597206139,0.6537566589915755,0.34624334100842447
