fault_number,dominant_pair,mean_residence_time,median_residence_time,max_residence_time,escape_rate,return_probability,occupancy
0,XMEAS8-XMEAS9,3.053150194087787,2.0,28,0.31599022004889976,0.41380377592076756,0.2377906976744186
1,XMEAS7-XMEAS11,16.480846774193548,18.5,55,0.060064835769771854,0.2790224032586558,0.3802093023255814
2,XMEAS8-XMEAS9,3.0616500453309157,2.0,26,0.31438160102655216,0.4021978021978022,0.2356046511627907
3,XMEAS8-XMEAS9,3.0613643133750372,2.0,28,0.3150724919723655,0.4119827053736875,0.239
4,XMEAS8-XMEAS9,2.833883751651255,2.0,25,0.34250087402400653,0.3678121810139503,0.19955813953488372
5,XMEAS7-XMEAS11,7.640079103493737,3.0,47,0.1279551337359793,0.34389750505731626,0.2695348837209302
6,XMEAS7-XMEAS11,55.64671532846715,76.0,79,0.004853350123301328,0.8378378378378378,0.8864651162790698
7,XMEAS7-XMEAS11,18.807185628742516,26.0,50,0.05285277636271014,0.22771084337349398,0.3652093023255814
8,XMEAS7-XMEAS11,57.812792511700465,73.0,79,0.003912785363484268,0.8068965517241379,0.8618139534883721
9,XMEAS8-XMEAS9,3.0781484821160205,2.0,31,0.3131530124011327,0.40006236357966946,0.23816279069767443
10,XMEAS8-XMEAS9,3.0201194592895315,2.0,28,0.3191422920786926,0.3926940639269406,0.22341860465116278
11,XMEAS7-XMEAS9,5.432375822860562,3.0,53,0.1718534838887359,0.5580128205128205,0.4222093023255814
12,XMEAS9-XMEAS11,9.757985257985258,6.0,78,0.09127533677451845,0.5981609195402299,0.5541627906976744
13,XMEAS7-XMEAS11,38.71666666666667,38.0,79,0.01202468072894246,0.6682577565632458,0.8103488372093023
14,XMEAS7-XMEAS11,62.57355371900827,75.0,79,0.002800010566077608,0.8207547169811321,0.8803953488372093
15,XMEAS8-XMEAS9,2.9870740305522916,2.0,29,0.3231707317073171,0.4013998782714547,0.23646511627906977
16,XMEAS8-XMEAS9,3.0971200980392157,2.0,28,0.31170244336729647,0.3966994604887337,0.23509302325581397
17,XMEAS7-XMEAS11,6.722551928783383,4.0,45,0.13451776649746192,0.551681706316653,0.42148837209302326
18,XMEAS7-XMEAS11,16.76045627376426,3.0,69,0.0412129461584997,0.5266055045871559,0.6150697674418605
19,XMEAS7-XMEAS9,4.454735584105169,2.0,45,0.2120053655264923,0.5093324897184436,0.34674418604651164
20,XMEAS7-XMEAS11,3.7032173342087984,2.0,39,0.2569148936170213,0.5189786059351277,0.26232558139534884
