fault,t2_level,t2_rate,spe_level,spe_rate,top1_level,top1_rate,ruptures_a_level,ruptures_a_rate,ruptures_b_level,ruptures_b_rate,fault_pattern
F01,Strong,1.0,Strong,0.996,Weak,0.07,Moderate,0.376,Weak,0.108,weak_geometry
F02,Strong,1.0,Strong,1.0,Weak,0.064,Strong,0.998,Insensitive,0.032,raw_shift_only
F03,Insensitive,0.002,Moderate,0.554,Weak,0.07,Insensitive,0.004,Insensitive,0.012,mixed
F04,Insensitive,0.0,Moderate,0.576,Weak,0.058,Insensitive,0.004,Insensitive,0.012,mixed
F05,Insensitive,0.016,Moderate,0.334,Insensitive,0.038,Insensitive,0.022,Insensitive,0.026,mixed
F06,Strong,1.0,Strong,1.0,Strong,1.0,Strong,1.0,Moderate,0.232,geometry_locked
F07,Moderate,0.454,Strong,0.746,Insensitive,0.046,Moderate,0.59,Weak,0.186,raw_shift_only
F08,Strong,1.0,Strong,1.0,Moderate,0.664,Moderate,0.592,Insensitive,0.02,mixed
F09,Insensitive,0.002,Moderate,0.624,Weak,0.078,Insensitive,0.006,Insensitive,0.006,mixed
F10,Insensitive,0.046,Strong,0.74,Weak,0.06,Weak,0.072,Insensitive,0.036,mixed
F11,Strong,1.0,Strong,1.0,Weak,0.126,Insensitive,0.002,Insensitive,0.01,mixed
F12,Strong,1.0,Strong,1.0,Moderate,0.522,Strong,0.7,Weak,0.064,mixed
F13,Strong,1.0,Strong,1.0,Moderate,0.35,Strong,0.88,Insensitive,0.016,mixed
F14,Strong,1.0,Strong,1.0,Strong,0.974,Insensitive,0.004,Insensitive,0.012,geometry_only
F15,Insensitive,0.004,Strong,0.886,Weak,0.08,Insensitive,0.01,Insensitive,0.01,mixed
F16,Insensitive,0.012,Strong,0.73,Weak,0.07,Insensitive,0.026,Insensitive,0.02,mixed
F17,Strong,1.0,Strong,1.0,Moderate,0.426,Insensitive,0.008,Insensitive,0.006,mixed
F18,Strong,1.0,Strong,1.0,Weak,0.158,Strong,0.998,Weak,0.152,raw_shift_only
F19,Strong,0.836,Strong,0.998,Weak,0.112,Insensitive,0.004,Insensitive,0.012,mixed
F20,Strong,1.0,Strong,1.0,Weak,0.072,Insensitive,0.008,Insensitive,0.006,mixed
