fault,t2_detection_rate,spe_detection_rate,t2_median_delay,spe_median_delay,t2_mean_delay,spe_mean_delay,t2_std_delay,spe_std_delay,n_runs
F01,1.0,0.996,3.0,3.0,3.016,3.0923694779116464,0.17834689576906268,0.4908642319392526,500
F02,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F03,0.002,0.554,3.0,4.0,3.0,4.397111913357401,,1.4475337466100573,500
F04,0.0,0.576,,4.0,,4.229166666666667,,1.4128270026343714,500
F05,0.016,0.334,3.0,3.0,3.0,3.7604790419161676,0.0,1.4151060279502894,500
F06,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F07,0.454,0.746,3.0,3.0,3.0,3.525469168900804,0.0,1.1697440705466926,500
F08,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F09,0.002,0.624,3.0,4.0,3.0,4.278846153846154,,1.4218555701719109,500
F10,0.046,0.74,5.0,4.0,5.0,4.245945945945946,1.4459976109624424,1.4148064486151952,500
F11,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F12,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F13,1.0,1.0,3.0,3.0,3.006,3.002,0.07730428127734981,0.044721359549995794,500
F14,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F15,0.004,0.886,4.0,3.0,4.0,3.853273137697517,1.4142135623730951,1.2543704176534236,500
F16,0.012,0.73,3.0,3.0,3.8333333333333335,4.112328767123287,1.602081978759722,1.3891203246049704,500
F17,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,500
F18,1.0,1.0,3.0,3.0,3.008,3.0,0.08917344788453134,0.0,500
F19,0.836,0.998,3.0,3.0,3.7942583732057416,3.030060120240481,1.264063543859775,0.27090914241969005,500
F20,1.0,1.0,3.0,3.0,3.216,3.0,0.6650025991782496,0.0,500
