fault,mean_occupancy,std_occupancy,median_occupancy,p05_occupancy,p95_occupancy,mean_entropy,std_entropy,median_entropy,p05_entropy,p95_entropy,mean_run_length,mean_unique_pair_count,most_common_dominant_pair,dominant_pair_consistency,representation_class
F01,0.39514285714285713,0.10732106565101288,0.4285714285714285,0.2857142857142857,0.5714285714285714,1.3694252620943443,0.2303030633734724,1.351783994289646,0.9556998911125344,1.7478680974667578,1.4270999999999998,4.436,XMEAS7-XMEAS11,0.892,Diffuse
F02,0.3525714285714285,0.09452909102027081,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4750672724586087,0.21670682919696274,1.5498260458782016,1.150004455959915,1.7478680974667578,1.1476666666666668,4.828,XMEAS8-XMEAS9,0.344,Diffuse
F03,0.3525714285714284,0.09496075660329888,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4731761936589614,0.22374868762932543,1.5498260458782016,1.078992207877583,1.7478680974667578,1.1556333333333333,4.824,XMEAS8-XMEAS9,0.358,Diffuse
F04,0.3445714285714285,0.09680343524615763,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4897154658941754,0.2307897753665842,1.5498260458782016,1.078992207877583,1.7478680974667578,1.1542333333333332,4.888,XMEAS8-XMEAS9,0.254,Diffuse
F05,0.3662857142857142,0.10983161252151082,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4435702841684792,0.24243771767393085,1.475076311054695,1.0042424730540764,1.7478680974667578,1.2316666666666667,4.726,XMEAS7-XMEAS11,0.678,Diffuse
F06,0.9997142857142858,0.006388765649999401,1.0,1.0,1.0,0.000820232636576818,0.018340959327496457,0.0,0.0,0.0,6.993,1.002,XMEAS7-XMEAS11,1.0,Locked
F07,0.3494285714285713,0.08376004881367262,0.2857142857142857,0.2857142857142857,0.4285714285714285,1.4479041186569257,0.20154147875783346,1.475076311054695,1.078992207877583,1.7478680974667578,1.3587,4.672,XMEAS7-XMEAS11,0.884,Diffuse
F08,0.9937142857142858,0.030691457504990263,1.0,1.0,1.0,0.017997276011883986,0.08767846554544093,0.0,0.0,0.0,6.8215,1.044,XMEAS7-XMEAS11,1.0,Locked
F09,0.35657142857142843,0.09592575482973703,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4682461639409607,0.22685247293324212,1.5498260458782016,1.078992207877583,1.7478680974667578,1.1593666666666669,4.81,XMEAS8-XMEAS9,0.364,Diffuse
F10,0.34599999999999986,0.09354400329760651,0.2857142857142857,0.2857142857142857,0.4357142857142791,1.4847674612626254,0.211573028186684,1.475076311054695,1.1537419427010902,1.7478680974667578,1.1540333333333332,4.862,XMEAS8-XMEAS9,0.326,Diffuse
F11,0.49285714285714277,0.16575075859521293,0.4285714285714285,0.2857142857142857,0.8571428571428571,1.20827792681554,0.34906258342482316,1.277034259466139,0.410116318288409,1.7478680974667578,1.4045333333333334,4.052,XMEAS7-XMEAS9,0.842,Transitional
F12,0.6888571428571426,0.16617067965591803,0.7142857142857143,0.4285714285714285,1.0,0.7020448607857821,0.3362073214280377,0.6829081047004717,0.0,1.277034259466139,2.4497333333333335,2.534,XMEAS9-XMEAS11,0.8,Transitional
F13,0.9565714285714286,0.08184610757851316,1.0,0.8500000000000003,1.0,0.12168423046377311,0.22631531713112538,0.0,0.0,0.41952398180324285,5.9031,1.296,XMEAS7-XMEAS11,1.0,Locked
F14,0.9988571428571429,0.012739063983504488,1.0,1.0,1.0,0.003280930546307272,0.03657148613548732,0.0,0.0,0.0,6.967333333333333,1.008,XMEAS7-XMEAS11,1.0,Locked
F15,0.35371428571428565,0.09963164745826725,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4747209749465031,0.2276273293606395,1.5498260458782016,1.075254721136408,1.7478680974667578,1.1565666666666665,4.84,XMEAS8-XMEAS9,0.37,Diffuse
F16,0.3522857142857142,0.09232588231505708,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.4859075899336867,0.21456766681232767,1.5498260458782016,1.1537419427010902,1.7478680974667578,1.1598666666666666,4.886,XMEAS8-XMEAS9,0.37,Diffuse
F17,0.6554285714285714,0.1330944105580494,0.5714285714285714,0.4285714285714285,0.8571428571428571,0.673912548971074,0.21952974389447516,0.6829081047004717,0.410116318288409,1.0042424730540764,1.968533333333333,2.244,XMEAS7-XMEAS11,0.682,Transitional
F18,0.7862857142857143,0.14342743312012723,0.8571428571428571,0.5714285714285714,1.0,0.4723753102889332,0.2563500730151347,0.410116318288409,0.0,0.9556998911125344,3.6740666666666666,1.95,XMEAS7-XMEAS11,0.892,Stable
F19,0.43142857142857133,0.1455233588586314,0.4285714285714285,0.2857142857142857,0.7142857142857143,1.3132102006233888,0.30451590194175915,1.2770342594661392,0.7963116401738131,1.7478680974667578,1.2697666666666665,4.318,XMEAS7-XMEAS9,0.666,Transitional
F20,0.4445714285714285,0.15102989180855794,0.4285714285714285,0.2857142857142857,0.7142857142857143,1.277012335755234,0.30726462571967467,1.2770342594661392,0.796311640173813,1.7478680974667578,1.2875333333333332,4.192,XMEAS7-XMEAS11,0.632,Transitional
