version,fp_target,fault,detection_rate,median_delay,mean_delay,n_runs,actual_fp_rate,penalty_used,detector_type
Version A,0.01,F01,0.376,2.0,2.2819148936170213,500,0.004,50.0,ruptures_raw
Version A,0.05,F01,0.376,2.0,2.2819148936170213,500,0.004,50.0,ruptures_raw
Version B,0.01,F01,0.108,3.5,3.5555555555555554,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F01,0.108,3.5,3.5555555555555554,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F02,0.998,1.0,0.8577154308617234,500,0.004,50.0,ruptures_raw
Version A,0.05,F02,0.998,1.0,0.8577154308617234,500,0.004,50.0,ruptures_raw
Version B,0.01,F02,0.032,3.0,2.9375,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F02,0.032,3.0,2.9375,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F03,0.004,3.5,3.5,500,0.004,50.0,ruptures_raw
Version A,0.05,F03,0.004,3.5,3.5,500,0.004,50.0,ruptures_raw
Version B,0.01,F03,0.012,4.0,3.3333333333333335,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F03,0.012,4.0,3.3333333333333335,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F04,0.004,3.5,3.5,500,0.004,50.0,ruptures_raw
Version A,0.05,F04,0.004,3.5,3.5,500,0.004,50.0,ruptures_raw
Version B,0.01,F04,0.012,4.0,3.5,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F04,0.012,4.0,3.5,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F05,0.022,2.0,2.0,500,0.004,50.0,ruptures_raw
Version A,0.05,F05,0.022,2.0,2.0,500,0.004,50.0,ruptures_raw
Version B,0.01,F05,0.026,4.0,3.5384615384615383,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F05,0.026,4.0,3.5384615384615383,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F06,1.0,0.0,0.0,500,0.004,50.0,ruptures_raw
Version A,0.05,F06,1.0,0.0,0.0,500,0.004,50.0,ruptures_raw
Version B,0.01,F06,0.232,1.0,1.0,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F06,0.232,1.0,1.0,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F07,0.59,2.0,2.0677966101694913,500,0.004,50.0,ruptures_raw
Version A,0.05,F07,0.59,2.0,2.0677966101694913,500,0.004,50.0,ruptures_raw
Version B,0.01,F07,0.186,3.0,3.3118279569892475,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F07,0.186,3.0,3.3118279569892475,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F08,0.592,0.0,0.75,500,0.004,50.0,ruptures_raw
Version A,0.05,F08,0.592,0.0,0.75,500,0.004,50.0,ruptures_raw
Version B,0.01,F08,0.02,2.0,1.8,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F08,0.02,2.0,1.8,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F09,0.006,2.0,3.0,500,0.004,50.0,ruptures_raw
Version A,0.05,F09,0.006,2.0,3.0,500,0.004,50.0,ruptures_raw
Version B,0.01,F09,0.006,4.0,3.3333333333333335,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F09,0.006,4.0,3.3333333333333335,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F10,0.072,1.0,1.2777777777777777,500,0.004,50.0,ruptures_raw
Version A,0.05,F10,0.072,1.0,1.2777777777777777,500,0.004,50.0,ruptures_raw
Version B,0.01,F10,0.036,2.0,1.8888888888888888,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F10,0.036,2.0,1.8888888888888888,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F11,0.002,1.0,1.0,500,0.004,50.0,ruptures_raw
Version A,0.05,F11,0.002,1.0,1.0,500,0.004,50.0,ruptures_raw
Version B,0.01,F11,0.01,2.0,2.4,500,0.014,200.0,ruptures_rolling_corr
Version B,0.05,F11,0.01,2.0,2.4,500,0.014,200.0,ruptures_rolling_corr
Version A,0.01,F12,0.7,1.0,1.3514285714285714,500,0.004,50.0,ruptures_raw
