fault,top1_detection_rate,top1_median_delay,top1_mean_delay,top1_std_delay,n_runs
F01,0.07,3.0,3.5142857142857142,1.1471557812932913,500
F02,0.064,3.0,3.75,1.3198240351921795,500
F03,0.07,3.0,4.0285714285714285,1.4447819759338063,500
F04,0.058,3.0,4.0344827586206895,1.4511758439449236,500
F05,0.038,3.0,4.105263157894737,1.4867838833500564,500
F06,1.0,6.0,5.772,0.7957905284245725,500
F07,0.046,3.0,3.391304347826087,1.0330506647252728,500
F08,0.664,6.0,5.783132530120482,0.7780709397070037,500
F09,0.078,3.0,4.076923076923077,1.4579115449417681,500
F10,0.06,3.0,3.6,1.2205143065174586,500
F11,0.126,6.0,4.9523809523809526,1.4416452454833972,500
F12,0.522,6.0,5.218390804597701,1.3193117730000963,500
F13,0.35,6.0,5.691428571428571,0.9139315816627586,500
F14,0.974,6.0,5.6796714579055445,0.9274381141747421,500
F15,0.08,3.0,4.125,1.4708710135363803,500
F16,0.07,3.0,4.0285714285714285,1.4447819759338063,500
F17,0.426,6.0,5.535211267605634,1.0880697715665897,500
F18,0.158,6.0,5.430379746835443,1.1841208391189781,500
F19,0.112,6.0,4.607142857142857,1.5097088392205895,500
F20,0.072,6.0,5.166666666666667,1.3627702877384937,500
