run_id,mode,requested_replace,effective_replace,n_target_windows,exhausted_fraction,trigger_sample,delay,status
1,baseline,0,0,4,0.0,310.0,150.0,triggered
1,noise_1,1,1,4,0.25,350.0,190.0,triggered
1,noise_2,2,2,4,0.5,340.0,180.0,triggered
1,noise_3,3,3,4,0.75,350.0,190.0,triggered
1,noise_4,4,4,4,1.0,350.0,190.0,triggered
1,exhaustion,-1,4,4,1.0,350.0,190.0,triggered
2,baseline,0,0,4,0.0,250.0,90.0,triggered
2,noise_1,1,1,4,0.25,290.0,130.0,triggered
2,noise_2,2,2,4,0.5,290.0,130.0,triggered
2,noise_3,3,3,4,0.75,280.0,120.0,triggered
2,noise_4,4,4,4,1.0,290.0,130.0,triggered
2,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
3,baseline,0,0,4,0.0,250.0,90.0,triggered
3,noise_1,1,1,4,0.25,280.0,120.0,triggered
3,noise_2,2,2,4,0.5,280.0,120.0,triggered
3,noise_3,3,3,4,0.75,290.0,130.0,triggered
3,noise_4,4,4,4,1.0,290.0,130.0,triggered
3,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
4,baseline,0,0,4,0.0,270.0,110.0,triggered
4,noise_1,1,1,4,0.25,300.0,140.0,triggered
4,noise_2,2,2,4,0.5,310.0,150.0,triggered
4,noise_3,3,3,4,0.75,310.0,150.0,triggered
4,noise_4,4,4,4,1.0,310.0,150.0,triggered
4,exhaustion,-1,4,4,1.0,310.0,150.0,triggered
5,baseline,0,0,4,0.0,310.0,150.0,triggered
5,noise_1,1,1,4,0.25,330.0,170.0,triggered
5,noise_2,2,2,4,0.5,350.0,190.0,triggered
5,noise_3,3,3,4,0.75,350.0,190.0,triggered
5,noise_4,4,4,4,1.0,350.0,190.0,triggered
5,exhaustion,-1,4,4,1.0,350.0,190.0,triggered
6,baseline,0,0,8,0.0,330.0,170.0,triggered
6,noise_1,1,1,8,0.125,330.0,170.0,triggered
6,noise_2,2,2,8,0.25,360.0,200.0,triggered
6,noise_3,3,3,8,0.375,330.0,170.0,triggered
6,noise_4,4,4,8,0.5,370.0,210.0,triggered
6,exhaustion,-1,8,8,1.0,370.0,210.0,triggered
7,baseline,0,0,4,0.0,280.0,120.0,triggered
7,noise_1,1,1,4,0.25,310.0,150.0,triggered
7,noise_2,2,2,4,0.5,300.0,140.0,triggered
7,noise_3,3,3,4,0.75,320.0,160.0,triggered
7,noise_4,4,4,4,1.0,320.0,160.0,triggered
7,exhaustion,-1,4,4,1.0,320.0,160.0,triggered
8,baseline,0,0,4,0.0,250.0,90.0,triggered
8,noise_1,1,0,4,0.0,,,no_replacement
8,noise_2,2,0,4,0.0,,,no_replacement
8,noise_3,3,0,4,0.0,,,no_replacement
8,noise_4,4,0,4,0.0,,,no_replacement
