run_id,collapse_count,collapse_class,block3,block5,block10,is_fixed_cluster,is_no_replacement,is_horizon_overlap,baseline_locked_fraction,baseline_duration,is_collapse_union
1,0,never,False,False,False,False,False,False,0.8,60,False
2,0,never,False,False,False,False,False,False,0.7333333333333333,41,False
3,0,never,False,False,False,False,False,False,0.7333333333333333,55,False
4,0,never,False,False,False,False,False,False,0.8533333333333334,64,False
5,0,never,False,False,False,False,False,False,0.8,60,False
6,0,never,False,False,False,False,False,True,0.5066666666666667,25,False
7,0,never,False,False,False,False,False,False,0.84,63,False
9,0,never,False,False,False,False,False,False,0.8533333333333334,64,False
10,0,never,False,False,False,False,False,False,0.84,63,False
11,0,never,False,False,False,False,False,False,0.6933333333333334,33,False
12,0,never,False,False,False,False,False,True,0.6533333333333333,39,False
13,0,never,False,False,False,False,False,False,0.8,60,False
14,0,never,False,False,False,False,False,True,0.56,23,False
15,3,fixed,True,True,True,True,False,False,0.49333333333333335,34,True
16,0,never,False,False,False,False,False,False,0.6933333333333334,52,False
18,0,never,False,False,False,False,False,False,0.7333333333333333,55,False
19,0,never,False,False,False,False,False,False,0.7333333333333333,53,False
21,0,never,False,False,False,False,False,False,0.6533333333333333,46,False
22,3,fixed,True,True,True,True,False,False,0.36,18,True
23,3,fixed,True,True,True,True,False,False,0.5866666666666667,30,True
24,3,fixed,True,True,True,True,False,False,0.64,48,True
25,0,never,False,False,False,False,False,False,0.6933333333333334,52,False
26,0,never,False,False,False,False,False,False,0.6666666666666666,50,False
27,0,never,False,False,False,False,False,False,0.8666666666666667,65,False
28,0,never,False,False,False,False,False,False,0.7733333333333333,58,False
29,0,never,False,False,False,False,False,True,0.6266666666666667,31,False
30,3,fixed,True,True,True,True,False,False,0.4533333333333333,33,True
32,0,never,False,False,False,False,False,True,0.6133333333333333,39,False
34,0,never,False,False,False,False,False,False,0.8666666666666667,65,False
35,0,never,False,False,False,False,False,True,0.56,31,False
36,0,never,False,False,False,False,False,False,0.6,35,False
38,0,never,False,False,False,False,False,False,0.8,60,False
39,0,never,False,False,False,False,False,False,0.8666666666666667,65,False
40,0,never,False,False,False,False,False,False,0.8533333333333334,64,False
41,0,never,False,False,False,False,False,True,0.6,26,False
42,0,never,False,False,False,False,False,False,0.7866666666666666,59,False
43,0,never,False,False,False,False,False,False,0.6133333333333333,36,False
44,0,never,False,False,False,False,False,False,0.8266666666666667,62,False
47,0,never,False,False,False,False,False,False,0.8533333333333334,64,False
48,3,fixed,True,True,True,True,False,False,0.64,46,True
49,0,never,False,False,False,False,False,True,0.72,36,False
50,0,never,False,False,False,False,False,False,0.6933333333333334,52,False
