metric,value
n_union,6.0
n_intersection,6.0
fixed_fraction,1.0
n_never,36.0
n_single,0.0
n_partial,0.0
n_fixed,6.0
overlap_no_replacement,0.0
overlap_no_replacement_jaccard,0.0
overlap_horizon,0.0
overlap_horizon_jaccard,0.0
collapse_baseline_mean,0.5288888888888889
collapse_baseline_median,0.54
collapse_baseline_p25,0.4633333333333333
collapse_baseline_p75,0.6266666666666667
noncollapse_baseline_mean,0.7322222222222222
noncollapse_baseline_median,0.7333333333333333
noncollapse_baseline_p25,0.6533333333333333
noncollapse_baseline_p75,0.83
