run_id,mode,requested_block,actual_block_size,segment_length,block_fraction,trigger_sample,locked_fraction,max_locked_duration,maintenance_survived,status
1,block_1,1,1,64,0.015625,310,0.6666666666666666,27,True,triggered
1,block_2,2,2,64,0.03125,310,0.6533333333333333,27,True,triggered
1,block_3,3,3,64,0.046875,310,0.64,26,True,triggered
1,block_5,5,5,64,0.078125,310,0.6133333333333333,25,True,triggered
1,block_10,10,10,64,0.15625,310,0.5466666666666666,23,True,triggered
1,maintenance_exhaustion,-1,64,64,1.0,310,0.0,0,False,triggered
2,block_1,1,1,45,0.022222222222222223,250,0.6,18,True,triggered
2,block_2,2,2,45,0.044444444444444446,250,0.5866666666666667,17,True,triggered
2,block_3,3,3,45,0.06666666666666667,250,0.5733333333333334,17,True,triggered
2,block_5,5,5,45,0.1111111111111111,250,0.5466666666666666,16,True,triggered
2,block_10,10,10,45,0.2222222222222222,250,0.48,14,True,triggered
2,maintenance_exhaustion,-1,68,68,1.0,250,0.0,0,False,triggered
3,block_1,1,1,59,0.01694915254237288,250,0.6,25,True,triggered
3,block_2,2,2,59,0.03389830508474576,250,0.5866666666666667,24,True,triggered
3,block_3,3,3,59,0.05084745762711865,250,0.5733333333333334,24,True,triggered
3,block_5,5,5,59,0.0847457627118644,250,0.5466666666666666,23,True,triggered
3,block_10,10,10,59,0.1694915254237288,250,0.48,20,True,triggered
3,maintenance_exhaustion,-1,67,67,1.0,250,0.0,0,False,triggered
4,block_1,1,1,68,0.014705882352941176,270,0.72,29,True,triggered
4,block_2,2,2,68,0.029411764705882353,270,0.7066666666666667,29,True,triggered
4,block_3,3,3,68,0.04411764705882353,270,0.6933333333333334,28,True,triggered
4,block_5,5,5,68,0.07352941176470588,270,0.6666666666666666,27,True,triggered
4,block_10,10,10,68,0.14705882352941177,270,0.6,25,True,triggered
4,maintenance_exhaustion,-1,68,68,1.0,270,0.0,0,False,triggered
5,block_1,1,1,64,0.015625,310,0.6666666666666666,27,True,triggered
5,block_2,2,2,64,0.03125,310,0.6533333333333333,27,True,triggered
5,block_3,3,3,64,0.046875,310,0.64,26,True,triggered
5,block_5,5,5,64,0.078125,310,0.6133333333333333,25,True,triggered
5,block_10,10,10,64,0.15625,310,0.5466666666666666,23,True,triggered
5,maintenance_exhaustion,-1,64,64,1.0,310,0.0,0,False,triggered
6,block_1,1,1,34,0.029411764705882353,330,0.37333333333333335,13,True,triggered
6,block_2,2,2,34,0.058823529411764705,330,0.36,13,True,triggered
6,block_3,3,3,34,0.08823529411764706,330,0.3466666666666667,13,True,triggered
6,block_5,5,5,34,0.14705882352941177,330,0.32,13,True,triggered
6,block_10,10,10,34,0.29411764705882354,330,0.25333333333333335,13,True,triggered
6,maintenance_exhaustion,-1,52,52,1.0,330,0.0,0,False,triggered
7,block_1,1,1,67,0.014925373134328358,280,0.7066666666666667,29,True,triggered
7,block_2,2,2,67,0.029850746268656716,280,0.6933333333333334,28,True,triggered
7,block_3,3,3,67,0.04477611940298507,280,0.68,28,True,triggered
7,block_5,5,5,67,0.07462686567164178,280,0.6533333333333333,27,True,triggered
7,block_10,10,10,67,0.14925373134328357,280,0.5866666666666667,24,True,triggered
7,maintenance_exhaustion,-1,67,67,1.0,280,0.0,0,False,triggered
8,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
8,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
8,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
8,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
8,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
8,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
9,block_1,1,1,68,0.014705882352941176,270,0.72,29,True,triggered
9,block_2,2,2,68,0.029411764705882353,270,0.7066666666666667,29,True,triggered
9,block_3,3,3,68,0.04411764705882353,270,0.6933333333333334,28,True,triggered
9,block_5,5,5,68,0.07352941176470588,270,0.6666666666666666,27,True,triggered
9,block_10,10,10,68,0.14705882352941177,270,0.6,25,True,triggered
9,maintenance_exhaustion,-1,68,68,1.0,270,0.0,0,False,triggered
10,block_1,1,1,67,0.014925373134328358,250,0.7066666666666667,29,True,triggered
10,block_2,2,2,67,0.029850746268656716,250,0.6933333333333334,28,True,triggered
10,block_3,3,3,67,0.04477611940298507,250,0.68,28,True,triggered
10,block_5,5,5,67,0.07462686567164178,250,0.6533333333333333,27,True,triggered
10,block_10,10,10,67,0.14925373134328357,250,0.5866666666666667,24,True,triggered
10,maintenance_exhaustion,-1,67,67,1.0,250,0.0,0,False,triggered
11,block_1,1,1,37,0.02702702702702703,270,0.56,19,True,triggered
11,block_2,2,2,37,0.05405405405405406,270,0.5466666666666666,19,True,triggered
11,block_3,3,3,37,0.08108108108108109,270,0.5333333333333333,19,True,triggered
11,block_5,5,5,37,0.13513513513513514,270,0.5066666666666667,19,True,triggered
11,block_10,10,10,37,0.2702702702702703,270,0.44,19,True,triggered
11,maintenance_exhaustion,-1,65,65,1.0,270,0.0,0,False,triggered
12,block_1,1,1,48,0.020833333333333332,310,0.52,15,True,triggered
12,block_2,2,2,48,0.041666666666666664,310,0.5066666666666667,14,True,triggered
12,block_3,3,3,48,0.0625,310,0.49333333333333335,14,True,triggered
12,block_5,5,5,48,0.10416666666666667,310,0.4666666666666667,13,True,triggered
12,block_10,10,10,48,0.20833333333333334,310,0.4,10,True,triggered
12,maintenance_exhaustion,-1,62,62,1.0,310,0.0,0,False,triggered
13,block_1,1,1,64,0.015625,310,0.6666666666666666,27,True,triggered
13,block_2,2,2,64,0.03125,310,0.6533333333333333,27,True,triggered
13,block_3,3,3,64,0.046875,310,0.64,26,True,triggered
13,block_5,5,5,64,0.078125,310,0.6133333333333333,25,True,triggered
13,block_10,10,10,64,0.15625,310,0.5466666666666666,23,True,triggered
13,maintenance_exhaustion,-1,64,64,1.0,310,0.0,0,False,triggered
14,block_1,1,1,32,0.03125,320,0.4266666666666667,19,True,triggered
14,block_2,2,2,32,0.0625,320,0.41333333333333333,19,True,triggered
14,block_3,3,3,32,0.09375,320,0.4,19,True,triggered
14,block_5,5,5,32,0.15625,320,0.37333333333333335,19,True,triggered
14,block_10,10,10,32,0.3125,320,0.30666666666666664,19,True,triggered
14,maintenance_exhaustion,-1,55,55,1.0,320,0.0,0,False,triggered
15,block_1,1,1,38,0.02631578947368421,250,0.36,14,True,triggered
15,block_2,2,2,38,0.05263157894736842,250,0.3466666666666667,14,True,triggered
15,block_3,3,3,38,0.07894736842105263,250,0.3333333333333333,13,True,triggered
15,block_5,5,5,38,0.13157894736842105,250,0.30666666666666664,12,True,triggered
15,block_10,10,10,38,0.2631578947368421,250,0.24,10,False,triggered
15,maintenance_exhaustion,-1,51,51,1.0,250,0.0,0,False,triggered
16,block_1,1,1,56,0.017857142857142856,300,0.56,23,True,triggered
16,block_2,2,2,56,0.03571428571428571,300,0.5466666666666666,23,True,triggered
16,block_3,3,3,56,0.05357142857142857,300,0.5333333333333333,22,True,triggered
16,block_5,5,5,56,0.08928571428571429,300,0.5066666666666667,21,True,triggered
16,block_10,10,10,56,0.17857142857142858,300,0.44,19,True,triggered
16,maintenance_exhaustion,-1,64,64,1.0,300,0.0,0,False,triggered
17,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
17,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
17,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
17,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
17,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
17,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
18,block_1,1,1,59,0.01694915254237288,360,0.6,25,True,triggered
18,block_2,2,2,59,0.03389830508474576,360,0.5866666666666667,24,True,triggered
18,block_3,3,3,59,0.05084745762711865,360,0.5733333333333334,24,True,triggered
18,block_5,5,5,59,0.0847457627118644,360,0.5466666666666666,23,True,triggered
18,block_10,10,10,59,0.1694915254237288,360,0.48,20,True,triggered
18,maintenance_exhaustion,-1,59,59,1.0,360,0.0,0,False,triggered
19,block_1,1,1,57,0.017543859649122806,260,0.6,24,True,triggered
19,block_2,2,2,57,0.03508771929824561,260,0.5866666666666667,23,True,triggered
19,block_3,3,3,57,0.05263157894736842,260,0.5733333333333334,23,True,triggered
19,block_5,5,5,57,0.08771929824561403,260,0.5466666666666666,22,True,triggered
