run_id,mode,strength,trigger_sample,delay,status
1,baseline,none,310.0,150.0,triggered
2,baseline,none,250.0,90.0,triggered
3,baseline,none,250.0,90.0,triggered
4,baseline,none,270.0,110.0,triggered
5,baseline,none,310.0,150.0,triggered
6,baseline,none,330.0,170.0,triggered
7,baseline,none,280.0,120.0,triggered
8,baseline,none,250.0,90.0,triggered
9,baseline,none,270.0,110.0,triggered
10,baseline,none,250.0,90.0,triggered
11,baseline,none,270.0,110.0,triggered
12,baseline,none,310.0,150.0,triggered
13,baseline,none,310.0,150.0,triggered
14,baseline,none,320.0,160.0,triggered
15,baseline,none,250.0,90.0,triggered
16,baseline,none,300.0,140.0,triggered
17,baseline,none,250.0,90.0,triggered
18,baseline,none,360.0,200.0,triggered
19,baseline,none,260.0,100.0,triggered
20,baseline,none,250.0,90.0,triggered
21,baseline,none,320.0,160.0,triggered
22,baseline,none,250.0,90.0,triggered
23,baseline,none,250.0,90.0,triggered
24,baseline,none,250.0,90.0,triggered
25,baseline,none,330.0,170.0,triggered
26,baseline,none,410.0,250.0,triggered
27,baseline,none,260.0,100.0,triggered
28,baseline,none,330.0,170.0,triggered
29,baseline,none,330.0,170.0,triggered
30,baseline,none,320.0,160.0,triggered
31,baseline,none,250.0,90.0,triggered
32,baseline,none,290.0,130.0,triggered
33,baseline,none,250.0,90.0,triggered
34,baseline,none,250.0,90.0,triggered
35,baseline,none,280.0,120.0,triggered
36,baseline,none,340.0,180.0,triggered
37,baseline,none,250.0,90.0,triggered
38,baseline,none,310.0,150.0,triggered
39,baseline,none,260.0,100.0,triggered
40,baseline,none,270.0,110.0,triggered
41,baseline,none,350.0,190.0,triggered
42,baseline,none,320.0,160.0,triggered
43,baseline,none,340.0,180.0,triggered
44,baseline,none,250.0,90.0,triggered
45,baseline,none,250.0,90.0,triggered
46,baseline,none,250.0,90.0,triggered
47,baseline,none,270.0,110.0,triggered
48,baseline,none,280.0,120.0,triggered
49,baseline,none,250.0,90.0,triggered
50,baseline,none,390.0,230.0,triggered
1,single_break,1,350.0,190.0,triggered
1,double_break,2,350.0,190.0,triggered
1,noise_replay,5%,340.0,180.0,triggered
1,noise_replay,10%,340.0,180.0,triggered
1,noise_replay,20%,350.0,190.0,triggered
2,single_break,1,280.0,120.0,triggered
2,double_break,2,290.0,130.0,triggered
2,noise_replay,5%,290.0,130.0,triggered
2,noise_replay,10%,290.0,130.0,triggered
2,noise_replay,20%,260.0,100.0,triggered
3,single_break,1,260.0,100.0,triggered
3,double_break,2,290.0,130.0,triggered
3,noise_replay,5%,270.0,110.0,triggered
3,noise_replay,10%,270.0,110.0,triggered
3,noise_replay,20%,290.0,130.0,triggered
4,single_break,1,310.0,150.0,triggered
4,double_break,2,310.0,150.0,triggered
4,noise_replay,5%,280.0,120.0,triggered
4,noise_replay,10%,290.0,130.0,triggered
4,noise_replay,20%,310.0,150.0,triggered
5,single_break,1,320.0,160.0,triggered
5,double_break,2,350.0,190.0,triggered
5,noise_replay,5%,350.0,190.0,triggered
5,noise_replay,10%,320.0,160.0,triggered
5,noise_replay,20%,330.0,170.0,triggered
6,single_break,1,360.0,200.0,triggered
6,double_break,2,340.0,180.0,triggered
6,noise_replay,5%,330.0,170.0,triggered
6,noise_replay,10%,330.0,170.0,triggered
6,noise_replay,20%,350.0,190.0,triggered
7,single_break,1,300.0,140.0,triggered
7,double_break,2,320.0,160.0,triggered
7,noise_replay,5%,300.0,140.0,triggered
7,noise_replay,10%,310.0,150.0,triggered
7,noise_replay,20%,310.0,150.0,triggered
8,single_break,1,,,skip
8,double_break,2,,,skip
8,noise_replay,5%,,,skip
8,noise_replay,10%,,,skip
8,noise_replay,20%,,,skip
9,single_break,1,300.0,140.0,triggered
9,double_break,2,310.0,150.0,triggered
9,noise_replay,5%,300.0,140.0,triggered
9,noise_replay,10%,310.0,150.0,triggered
9,noise_replay,20%,310.0,150.0,triggered
10,single_break,1,290.0,130.0,triggered
10,double_break,2,290.0,130.0,triggered
10,noise_replay,5%,280.0,120.0,triggered
10,noise_replay,10%,280.0,120.0,triggered
10,noise_replay,20%,270.0,110.0,triggered
11,single_break,1,310.0,150.0,triggered
11,double_break,2,310.0,150.0,triggered
11,noise_replay,5%,290.0,130.0,triggered
11,noise_replay,10%,280.0,120.0,triggered
11,noise_replay,20%,310.0,150.0,triggered
12,single_break,1,320.0,160.0,triggered
12,double_break,2,350.0,190.0,triggered
12,noise_replay,5%,350.0,190.0,triggered
12,noise_replay,10%,340.0,180.0,triggered
12,noise_replay,20%,320.0,160.0,triggered
13,single_break,1,310.0,150.0,triggered
13,double_break,2,340.0,180.0,triggered
13,noise_replay,5%,310.0,150.0,triggered
13,noise_replay,10%,310.0,150.0,triggered
13,noise_replay,20%,330.0,170.0,triggered
14,single_break,1,360.0,200.0,triggered
14,double_break,2,360.0,200.0,triggered
14,noise_replay,5%,340.0,180.0,triggered
14,noise_replay,10%,360.0,200.0,triggered
14,noise_replay,20%,360.0,200.0,triggered
15,single_break,1,290.0,130.0,triggered
15,double_break,2,290.0,130.0,triggered
15,noise_replay,5%,280.0,120.0,triggered
15,noise_replay,10%,270.0,110.0,triggered
15,noise_replay,20%,280.0,120.0,triggered
16,single_break,1,320.0,160.0,triggered
16,double_break,2,340.0,180.0,triggered
16,noise_replay,5%,320.0,160.0,triggered
16,noise_replay,10%,320.0,160.0,triggered
16,noise_replay,20%,310.0,150.0,triggered
17,single_break,1,,,skip
17,double_break,2,,,skip
17,noise_replay,5%,,,skip
