run_id,population,attack_mode,H,relock_window,relock_to_drop_latency,early_break,early_locked_fraction,early_persistent_or_locked_fraction,early_mean_run_length,early_min_run_length,early_run_length_slope,early_state_drop,early_below_persistent
1,A,block_3,3,64,22,0,1.0,1.0,11.0,10,2,False,False
1,A,block_3,5,64,22,0,1.0,1.0,12.0,10,4,False,False
1,A,block_3,10,64,22,0,1.0,1.0,14.5,10,9,False,False
1,A,block_5,3,65,21,0,1.0,1.0,11.0,10,2,False,False
1,A,block_5,5,65,21,0,1.0,1.0,12.0,10,4,False,False
1,A,block_5,10,65,21,0,1.0,1.0,14.5,10,9,False,False
1,A,block_10,3,68,18,0,1.0,1.0,11.0,10,2,False,False
1,A,block_10,5,68,18,0,1.0,1.0,12.0,10,4,False,False
1,A,block_10,10,68,18,0,1.0,1.0,14.5,10,9,False,False
1,A,block_15,3,70,16,0,1.0,1.0,11.0,10,2,False,False
1,A,block_15,5,70,16,0,1.0,1.0,12.0,10,4,False,False
1,A,block_15,10,70,16,0,1.0,1.0,14.5,10,9,False,False
1,A,block_20,3,73,13,0,1.0,1.0,11.0,10,2,False,False
1,A,block_20,5,73,13,0,1.0,1.0,12.0,10,4,False,False
1,A,block_20,10,73,13,0,1.0,1.0,14.5,10,9,False,False
2,A,block_3,3,49,12,0,1.0,1.0,11.0,10,2,False,False
2,A,block_3,5,49,12,0,1.0,1.0,12.0,10,4,False,False
2,A,block_3,10,49,12,0,1.0,1.0,14.5,10,9,False,False
2,A,block_5,3,50,11,0,1.0,1.0,11.0,10,2,False,False
2,A,block_5,5,50,11,0,1.0,1.0,12.0,10,4,False,False
2,A,block_5,10,50,11,0,1.0,1.0,14.5,10,9,False,False
2,A,block_10,3,52,9,1,1.0,1.0,11.0,10,2,False,False
2,A,block_10,5,52,9,1,1.0,1.0,12.0,10,4,False,False
2,A,block_10,10,52,9,1,0.9,0.9,12.6,0,-10,True,True
2,A,block_15,3,55,6,1,1.0,1.0,11.0,10,2,False,False
2,A,block_15,5,55,6,1,1.0,1.0,12.0,10,4,False,False
2,A,block_15,10,55,6,1,0.6,0.6,7.8,0,-8,True,True
2,A,block_20,3,57,4,1,1.0,1.0,11.0,10,2,False,False
2,A,block_20,5,57,4,1,0.8,0.8,9.2,0,-10,True,True
2,A,block_20,10,57,4,1,0.4,0.4,5.6,0,-6,True,True
3,A,block_3,3,56,19,0,1.0,1.0,11.0,10,2,False,False
3,A,block_3,5,56,19,0,1.0,1.0,12.0,10,4,False,False
3,A,block_3,10,56,19,0,1.0,1.0,14.5,10,9,False,False
3,A,block_5,3,57,18,0,1.0,1.0,11.0,10,2,False,False
3,A,block_5,5,57,18,0,1.0,1.0,12.0,10,4,False,False
3,A,block_5,10,57,18,0,1.0,1.0,14.5,10,9,False,False
3,A,block_10,3,59,16,0,1.0,1.0,11.0,10,2,False,False
3,A,block_10,5,59,16,0,1.0,1.0,12.0,10,4,False,False
3,A,block_10,10,59,16,0,1.0,1.0,14.5,10,9,False,False
3,A,block_15,3,62,13,0,1.0,1.0,11.0,10,2,False,False
3,A,block_15,5,62,13,0,1.0,1.0,12.0,10,4,False,False
3,A,block_15,10,62,13,0,1.0,1.0,14.5,10,9,False,False
3,A,block_20,3,64,11,0,1.0,1.0,11.0,10,2,False,False
3,A,block_20,5,64,11,0,1.0,1.0,12.0,10,4,False,False
3,A,block_20,10,64,11,0,1.0,1.0,14.5,10,9,False,False
4,A,block_3,3,62,24,0,1.0,1.0,11.0,10,2,False,False
4,A,block_3,5,62,24,0,1.0,1.0,12.0,10,4,False,False
4,A,block_3,10,62,24,0,1.0,1.0,14.5,10,9,False,False
4,A,block_5,3,63,23,0,1.0,1.0,11.0,10,2,False,False
4,A,block_5,5,63,23,0,1.0,1.0,12.0,10,4,False,False
4,A,block_5,10,63,23,0,1.0,1.0,14.5,10,9,False,False
4,A,block_10,3,66,20,0,1.0,1.0,11.0,10,2,False,False
4,A,block_10,5,66,20,0,1.0,1.0,12.0,10,4,False,False
4,A,block_10,10,66,20,0,1.0,1.0,14.5,10,9,False,False
4,A,block_15,3,68,18,0,1.0,1.0,11.0,10,2,False,False
4,A,block_15,5,68,18,0,1.0,1.0,12.0,10,4,False,False
4,A,block_15,10,68,18,0,1.0,1.0,14.5,10,9,False,False
4,A,block_20,3,71,15,0,1.0,1.0,11.0,10,2,False,False
4,A,block_20,5,71,15,0,1.0,1.0,12.0,10,4,False,False
4,A,block_20,10,71,15,0,1.0,1.0,14.5,10,9,False,False
5,A,block_3,3,64,22,0,1.0,1.0,11.0,10,2,False,False
5,A,block_3,5,64,22,0,1.0,1.0,12.0,10,4,False,False
5,A,block_3,10,64,22,0,1.0,1.0,14.5,10,9,False,False
5,A,block_5,3,65,21,0,1.0,1.0,11.0,10,2,False,False
5,A,block_5,5,65,21,0,1.0,1.0,12.0,10,4,False,False
5,A,block_5,10,65,21,0,1.0,1.0,14.5,10,9,False,False
5,A,block_10,3,68,18,0,1.0,1.0,11.0,10,2,False,False
5,A,block_10,5,68,18,0,1.0,1.0,12.0,10,4,False,False
5,A,block_10,10,68,18,0,1.0,1.0,14.5,10,9,False,False
5,A,block_15,3,70,16,0,1.0,1.0,11.0,10,2,False,False
5,A,block_15,5,70,16,0,1.0,1.0,12.0,10,4,False,False
5,A,block_15,10,70,16,0,1.0,1.0,14.5,10,9,False,False
5,A,block_20,3,73,13,0,1.0,1.0,11.0,10,2,False,False
5,A,block_20,5,73,13,0,1.0,1.0,12.0,10,4,False,False
5,A,block_20,10,73,13,0,1.0,1.0,14.5,10,9,False,False
6,A,block_3,3,79,7,1,1.0,1.0,11.0,10,2,False,False
6,A,block_3,5,79,7,1,1.0,1.0,12.0,10,4,False,False
6,A,block_3,10,79,7,1,1.0,1.0,13.0,10,6,False,False
6,A,block_5,3,80,6,1,1.0,1.0,11.0,10,2,False,False
6,A,block_5,5,80,6,1,1.0,1.0,12.0,10,4,False,False
6,A,block_5,10,80,6,1,1.0,1.0,12.5,10,5,False,False
6,A,block_10,3,83,3,1,1.0,1.0,11.0,10,2,False,False
6,A,block_10,5,83,3,1,1.0,1.0,11.0,10,2,False,False
6,A,block_10,10,83,3,1,1.0,1.0,11.0,10,2,False,False
6,A,block_15,3,85,1,1,1.0,1.0,10.0,10,0,False,False
6,A,block_15,5,85,1,1,1.0,1.0,10.0,10,0,False,False
6,A,block_15,10,85,1,1,1.0,1.0,10.0,10,0,False,False
7,A,block_3,3,63,23,0,1.0,1.0,11.0,10,2,False,False
7,A,block_3,5,63,23,0,1.0,1.0,12.0,10,4,False,False
7,A,block_3,10,63,23,0,1.0,1.0,14.5,10,9,False,False
7,A,block_5,3,64,22,0,1.0,1.0,11.0,10,2,False,False
7,A,block_5,5,64,22,0,1.0,1.0,12.0,10,4,False,False
7,A,block_5,10,64,22,0,1.0,1.0,14.5,10,9,False,False
7,A,block_10,3,66,20,0,1.0,1.0,11.0,10,2,False,False
7,A,block_10,5,66,20,0,1.0,1.0,12.0,10,4,False,False
7,A,block_10,10,66,20,0,1.0,1.0,14.5,10,9,False,False
7,A,block_15,3,69,17,0,1.0,1.0,11.0,10,2,False,False
7,A,block_15,5,69,17,0,1.0,1.0,12.0,10,4,False,False
7,A,block_15,10,69,17,0,1.0,1.0,14.5,10,9,False,False
7,A,block_20,3,71,15,0,1.0,1.0,11.0,10,2,False,False
7,A,block_20,5,71,15,0,1.0,1.0,12.0,10,4,False,False
7,A,block_20,10,71,15,0,1.0,1.0,14.5,10,9,False,False
8,A,block_3,3,61,25,0,1.0,1.0,11.0,10,2,False,False
8,A,block_3,5,61,25,0,1.0,1.0,12.0,10,4,False,False
8,A,block_3,10,61,25,0,1.0,1.0,14.5,10,9,False,False
8,A,block_5,3,62,24,0,1.0,1.0,11.0,10,2,False,False
8,A,block_5,5,62,24,0,1.0,1.0,12.0,10,4,False,False
8,A,block_5,10,62,24,0,1.0,1.0,14.5,10,9,False,False
8,A,block_10,3,65,21,0,1.0,1.0,11.0,10,2,False,False
8,A,block_10,5,65,21,0,1.0,1.0,12.0,10,4,False,False
8,A,block_10,10,65,21,0,1.0,1.0,14.5,10,9,False,False
8,A,block_15,3,67,19,0,1.0,1.0,11.0,10,2,False,False
8,A,block_15,5,67,19,0,1.0,1.0,12.0,10,4,False,False
8,A,block_15,10,67,19,0,1.0,1.0,14.5,10,9,False,False
8,A,block_20,3,70,16,0,1.0,1.0,11.0,10,2,False,False
8,A,block_20,5,70,16,0,1.0,1.0,12.0,10,4,False,False
8,A,block_20,10,70,16,0,1.0,1.0,14.5,10,9,False,False
9,A,block_3,3,62,24,0,1.0,1.0,11.0,10,2,False,False
9,A,block_3,5,62,24,0,1.0,1.0,12.0,10,4,False,False
9,A,block_3,10,62,24,0,1.0,1.0,14.5,10,9,False,False
9,A,block_5,3,63,23,0,1.0,1.0,11.0,10,2,False,False
9,A,block_5,5,63,23,0,1.0,1.0,12.0,10,4,False,False
9,A,block_5,10,63,23,0,1.0,1.0,14.5,10,9,False,False
9,A,block_10,3,66,20,0,1.0,1.0,11.0,10,2,False,False
9,A,block_10,5,66,20,0,1.0,1.0,12.0,10,4,False,False
9,A,block_10,10,66,20,0,1.0,1.0,14.5,10,9,False,False
9,A,block_15,3,68,18,0,1.0,1.0,11.0,10,2,False,False
9,A,block_15,5,68,18,0,1.0,1.0,12.0,10,4,False,False
9,A,block_15,10,68,18,0,1.0,1.0,14.5,10,9,False,False
9,A,block_20,3,71,15,0,1.0,1.0,11.0,10,2,False,False
9,A,block_20,5,71,15,0,1.0,1.0,12.0,10,4,False,False
9,A,block_20,10,71,15,0,1.0,1.0,14.5,10,9,False,False
10,A,block_3,3,60,23,0,1.0,1.0,11.0,10,2,False,False
10,A,block_3,5,60,23,0,1.0,1.0,12.0,10,4,False,False
10,A,block_3,10,60,23,0,1.0,1.0,14.5,10,9,False,False
10,A,block_5,3,61,22,0,1.0,1.0,11.0,10,2,False,False
10,A,block_5,5,61,22,0,1.0,1.0,12.0,10,4,False,False
10,A,block_5,10,61,22,0,1.0,1.0,14.5,10,9,False,False
10,A,block_10,3,63,20,0,1.0,1.0,11.0,10,2,False,False
10,A,block_10,5,63,20,0,1.0,1.0,12.0,10,4,False,False
10,A,block_10,10,63,20,0,1.0,1.0,14.5,10,9,False,False
10,A,block_15,3,66,17,0,1.0,1.0,11.0,10,2,False,False
10,A,block_15,5,66,17,0,1.0,1.0,12.0,10,4,False,False
10,A,block_15,10,66,17,0,1.0,1.0,14.5,10,9,False,False
10,A,block_20,3,68,15,0,1.0,1.0,11.0,10,2,False,False
10,A,block_20,5,68,15,0,1.0,1.0,12.0,10,4,False,False
10,A,block_20,10,68,15,0,1.0,1.0,14.5,10,9,False,False
11,A,block_3,3,47,8,1,1.0,1.0,11.0,10,2,False,False
11,A,block_3,5,47,8,1,1.0,1.0,12.0,10,4,False,False
11,A,block_3,10,47,8,1,0.8,0.8,10.8,0,-10,True,True
11,A,block_5,3,48,7,1,1.0,1.0,11.0,10,2,False,False
11,A,block_5,5,48,7,1,1.0,1.0,12.0,10,4,False,False
11,A,block_5,10,48,7,1,0.7,0.7,9.1,0,-10,True,True
11,A,block_10,3,50,5,1,1.0,1.0,11.0,10,2,False,False
11,A,block_10,5,50,5,1,1.0,1.0,12.0,10,4,False,False
11,A,block_10,10,50,5,1,0.5,0.5,6.3,0,-8,True,True
11,A,block_15,3,53,2,1,0.6666666666666666,0.6666666666666666,7.0,0,-10,True,True
11,A,block_15,5,53,2,1,0.4,0.4,4.2,0,-10,True,True
11,A,block_15,10,53,2,1,0.2,0.3,3.6,0,-5,True,True
11,A,block_20,3,67,19,0,1.0,1.0,11.0,10,2,False,False
11,A,block_20,5,67,19,0,1.0,1.0,12.0,10,4,False,False
11,A,block_20,10,67,19,0,1.0,1.0,14.5,10,9,False,False
12,A,block_3,3,72,14,0,1.0,1.0,11.0,10,2,False,False
12,A,block_3,5,72,14,0,1.0,1.0,12.0,10,4,False,False
12,A,block_3,10,72,14,0,1.0,1.0,14.5,10,9,False,False
12,A,block_5,3,73,13,0,1.0,1.0,11.0,10,2,False,False
12,A,block_5,5,73,13,0,1.0,1.0,12.0,10,4,False,False
12,A,block_5,10,73,13,0,1.0,1.0,14.5,10,9,False,False
12,A,block_10,3,76,10,1,1.0,1.0,11.0,10,2,False,False
12,A,block_10,5,76,10,1,1.0,1.0,12.0,10,4,False,False
12,A,block_10,10,76,10,1,1.0,1.0,14.5,10,9,False,False
12,A,block_15,3,78,8,1,1.0,1.0,11.0,10,2,False,False
12,A,block_15,5,78,8,1,1.0,1.0,12.0,10,4,False,False
12,A,block_15,10,78,8,1,1.0,1.0,13.5,10,7,False,False
12,A,block_20,3,81,5,1,1.0,1.0,11.0,10,2,False,False
12,A,block_20,5,81,5,1,1.0,1.0,12.0,10,4,False,False
12,A,block_20,10,81,5,1,1.0,1.0,12.0,10,4,False,False
13,A,block_3,3,64,22,0,1.0,1.0,11.0,10,2,False,False
13,A,block_3,5,64,22,0,1.0,1.0,12.0,10,4,False,False
13,A,block_3,10,64,22,0,1.0,1.0,14.5,10,9,False,False
13,A,block_5,3,65,21,0,1.0,1.0,11.0,10,2,False,False
13,A,block_5,5,65,21,0,1.0,1.0,12.0,10,4,False,False
13,A,block_5,10,65,21,0,1.0,1.0,14.5,10,9,False,False
13,A,block_10,3,68,18,0,1.0,1.0,11.0,10,2,False,False
13,A,block_10,5,68,18,0,1.0,1.0,12.0,10,4,False,False
13,A,block_10,10,68,18,0,1.0,1.0,14.5,10,9,False,False
13,A,block_15,3,70,16,0,1.0,1.0,11.0,10,2,False,False
13,A,block_15,5,70,16,0,1.0,1.0,12.0,10,4,False,False
13,A,block_15,10,70,16,0,1.0,1.0,14.5,10,9,False,False
13,A,block_20,3,73,13,0,1.0,1.0,11.0,10,2,False,False
13,A,block_20,5,73,13,0,1.0,1.0,12.0,10,4,False,False
13,A,block_20,10,73,13,0,1.0,1.0,14.5,10,9,False,False
14,A,block_3,3,80,6,1,1.0,1.0,11.0,10,2,False,False
14,A,block_3,5,80,6,1,1.0,1.0,12.0,10,4,False,False
14,A,block_3,10,80,6,1,1.0,1.0,12.5,10,5,False,False
14,A,block_5,3,81,5,1,1.0,1.0,11.0,10,2,False,False
14,A,block_5,5,81,5,1,1.0,1.0,12.0,10,4,False,False
14,A,block_5,10,81,5,1,1.0,1.0,12.0,10,4,False,False
14,A,block_10,3,84,2,1,1.0,1.0,10.5,10,1,False,False
14,A,block_10,5,84,2,1,1.0,1.0,10.5,10,1,False,False
14,A,block_10,10,84,2,1,1.0,1.0,10.5,10,1,False,False
15,B,block_3,3,45,9,1,1.0,1.0,11.0,10,2,False,False
15,B,block_3,5,45,9,1,1.0,1.0,12.0,10,4,False,False
15,B,block_3,10,45,9,1,0.9,0.9,12.6,0,-10,True,True
15,B,block_5,3,46,8,1,1.0,1.0,11.0,10,2,False,False
15,B,block_5,5,46,8,1,1.0,1.0,12.0,10,4,False,False
15,B,block_5,10,46,8,1,0.8,0.8,10.9,0,-9,True,True
15,B,block_10,3,49,5,1,1.0,1.0,11.0,10,2,False,False
15,B,block_10,5,49,5,1,1.0,1.0,12.0,10,4,False,False
15,B,block_10,10,49,5,1,0.5,0.5,7.0,0,-6,True,True
15,B,block_15,3,51,3,1,1.0,1.0,11.0,10,2,False,False
15,B,block_15,5,51,3,1,0.6,0.6,6.8,0,-9,True,True
15,B,block_15,10,51,3,1,0.3,0.5,5.4,0,-4,True,True
15,B,block_20,3,64,3,1,1.0,1.0,11.0,10,2,False,False
15,B,block_20,5,64,3,1,0.6,0.6,6.6,0,-10,True,True
15,B,block_20,10,64,3,1,0.3,0.3,3.3,0,-10,True,True
16,A,block_3,3,59,18,0,1.0,1.0,11.0,10,2,False,False
16,A,block_3,5,59,18,0,1.0,1.0,12.0,10,4,False,False
16,A,block_3,10,59,18,0,1.0,1.0,14.5,10,9,False,False
16,A,block_5,3,60,17,0,1.0,1.0,11.0,10,2,False,False
16,A,block_5,5,60,17,0,1.0,1.0,12.0,10,4,False,False
16,A,block_5,10,60,17,0,1.0,1.0,14.5,10,9,False,False
16,A,block_10,3,63,14,0,1.0,1.0,11.0,10,2,False,False
16,A,block_10,5,63,14,0,1.0,1.0,12.0,10,4,False,False
16,A,block_10,10,63,14,0,1.0,1.0,14.5,10,9,False,False
16,A,block_15,3,65,12,0,1.0,1.0,11.0,10,2,False,False
16,A,block_15,5,65,12,0,1.0,1.0,12.0,10,4,False,False
16,A,block_15,10,65,12,0,1.0,1.0,14.5,10,9,False,False
16,A,block_20,3,68,9,1,1.0,1.0,11.0,10,2,False,False
16,A,block_20,5,68,9,1,1.0,1.0,12.0,10,4,False,False
16,A,block_20,10,68,9,1,0.9,0.9,12.6,0,-10,True,True
17,A,block_3,3,61,25,0,1.0,1.0,11.0,10,2,False,False
17,A,block_3,5,61,25,0,1.0,1.0,12.0,10,4,False,False
17,A,block_3,10,61,25,0,1.0,1.0,14.5,10,9,False,False
17,A,block_5,3,62,24,0,1.0,1.0,11.0,10,2,False,False
17,A,block_5,5,62,24,0,1.0,1.0,12.0,10,4,False,False
17,A,block_5,10,62,24,0,1.0,1.0,14.5,10,9,False,False
17,A,block_10,3,65,21,0,1.0,1.0,11.0,10,2,False,False
17,A,block_10,5,65,21,0,1.0,1.0,12.0,10,4,False,False
17,A,block_10,10,65,21,0,1.0,1.0,14.5,10,9,False,False
17,A,block_15,3,67,19,0,1.0,1.0,11.0,10,2,False,False
17,A,block_15,5,67,19,0,1.0,1.0,12.0,10,4,False,False
17,A,block_15,10,67,19,0,1.0,1.0,14.5,10,9,False,False
17,A,block_20,3,70,16,0,1.0,1.0,11.0,10,2,False,False
17,A,block_20,5,70,16,0,1.0,1.0,12.0,10,4,False,False
17,A,block_20,10,70,16,0,1.0,1.0,14.5,10,9,False,False
18,A,block_3,3,67,19,0,1.0,1.0,11.0,10,2,False,False
18,A,block_3,5,67,19,0,1.0,1.0,12.0,10,4,False,False
18,A,block_3,10,67,19,0,1.0,1.0,14.5,10,9,False,False
18,A,block_5,3,68,18,0,1.0,1.0,11.0,10,2,False,False
18,A,block_5,5,68,18,0,1.0,1.0,12.0,10,4,False,False
18,A,block_5,10,68,18,0,1.0,1.0,14.5,10,9,False,False
18,A,block_10,3,70,16,0,1.0,1.0,11.0,10,2,False,False
18,A,block_10,5,70,16,0,1.0,1.0,12.0,10,4,False,False
18,A,block_10,10,70,16,0,1.0,1.0,14.5,10,9,False,False
18,A,block_15,3,73,13,0,1.0,1.0,11.0,10,2,False,False
18,A,block_15,5,73,13,0,1.0,1.0,12.0,10,4,False,False
18,A,block_15,10,73,13,0,1.0,1.0,14.5,10,9,False,False
18,A,block_20,3,75,11,0,1.0,1.0,11.0,10,2,False,False
18,A,block_20,5,75,11,0,1.0,1.0,12.0,10,4,False,False
18,A,block_20,10,75,11,0,1.0,1.0,14.5,10,9,False,False
19,A,block_3,3,56,18,0,1.0,1.0,11.0,10,2,False,False
19,A,block_3,5,56,18,0,1.0,1.0,12.0,10,4,False,False
19,A,block_3,10,56,18,0,1.0,1.0,14.5,10,9,False,False
19,A,block_5,3,57,17,0,1.0,1.0,11.0,10,2,False,False
19,A,block_5,5,57,17,0,1.0,1.0,12.0,10,4,False,False
19,A,block_5,10,57,17,0,1.0,1.0,14.5,10,9,False,False
19,A,block_10,3,59,15,0,1.0,1.0,11.0,10,2,False,False
19,A,block_10,5,59,15,0,1.0,1.0,12.0,10,4,False,False
19,A,block_10,10,59,15,0,1.0,1.0,14.5,10,9,False,False
19,A,block_15,3,62,12,0,1.0,1.0,11.0,10,2,False,False
19,A,block_15,5,62,12,0,1.0,1.0,12.0,10,4,False,False
19,A,block_15,10,62,12,0,1.0,1.0,14.5,10,9,False,False
19,A,block_20,3,64,10,1,1.0,1.0,11.0,10,2,False,False
19,A,block_20,5,64,10,1,1.0,1.0,12.0,10,4,False,False
19,A,block_20,10,64,10,1,1.0,1.0,14.5,10,9,False,False
20,A,block_3,3,61,25,0,1.0,1.0,11.0,10,2,False,False
20,A,block_3,5,61,25,0,1.0,1.0,12.0,10,4,False,False
20,A,block_3,10,61,25,0,1.0,1.0,14.5,10,9,False,False
20,A,block_5,3,62,24,0,1.0,1.0,11.0,10,2,False,False
20,A,block_5,5,62,24,0,1.0,1.0,12.0,10,4,False,False
20,A,block_5,10,62,24,0,1.0,1.0,14.5,10,9,False,False
20,A,block_10,3,65,21,0,1.0,1.0,11.0,10,2,False,False
20,A,block_10,5,65,21,0,1.0,1.0,12.0,10,4,False,False
20,A,block_10,10,65,21,0,1.0,1.0,14.5,10,9,False,False
20,A,block_15,3,67,19,0,1.0,1.0,11.0,10,2,False,False
20,A,block_15,5,67,19,0,1.0,1.0,12.0,10,4,False,False
20,A,block_15,10,67,19,0,1.0,1.0,14.5,10,9,False,False
20,A,block_20,3,70,16,0,1.0,1.0,11.0,10,2,False,False
20,A,block_20,5,70,16,0,1.0,1.0,12.0,10,4,False,False
20,A,block_20,10,70,16,0,1.0,1.0,14.5,10,9,False,False
21,A,block_3,3,69,17,0,1.0,1.0,11.0,10,2,False,False
21,A,block_3,5,69,17,0,1.0,1.0,12.0,10,4,False,False
21,A,block_3,10,69,17,0,1.0,1.0,14.5,10,9,False,False
21,A,block_5,3,70,16,0,1.0,1.0,11.0,10,2,False,False
21,A,block_5,5,70,16,0,1.0,1.0,12.0,10,4,False,False
21,A,block_5,10,70,16,0,1.0,1.0,14.5,10,9,False,False
21,A,block_10,3,72,14,0,1.0,1.0,11.0,10,2,False,False
21,A,block_10,5,72,14,0,1.0,1.0,12.0,10,4,False,False
21,A,block_10,10,72,14,0,1.0,1.0,14.5,10,9,False,False
21,A,block_15,3,75,11,0,1.0,1.0,11.0,10,2,False,False
21,A,block_15,5,75,11,0,1.0,1.0,12.0,10,4,False,False
21,A,block_15,10,75,11,0,1.0,1.0,14.5,10,9,False,False
21,A,block_20,3,77,9,1,1.0,1.0,11.0,10,2,False,False
21,A,block_20,5,77,9,1,1.0,1.0,12.0,10,4,False,False
21,A,block_20,10,77,9,1,1.0,1.0,14.0,10,8,False,False
22,B,block_3,3,37,1,1,0.3333333333333333,0.3333333333333333,3.3333333333333335,0,-10,True,True
22,B,block_3,5,37,1,1,0.2,0.2,2.0,0,-10,True,True
22,B,block_3,10,37,1,1,0.1,0.1,1.0,0,-10,True,True
22,B,block_5,3,67,7,1,1.0,1.0,11.0,10,2,False,False
22,B,block_5,5,67,7,1,1.0,1.0,12.0,10,4,False,False
22,B,block_5,10,67,7,1,0.7,0.7,9.4,0,-8,True,True
22,B,block_10,3,67,7,1,1.0,1.0,11.0,10,2,False,False
22,B,block_10,5,67,7,1,1.0,1.0,12.0,10,4,False,False
22,B,block_10,10,67,7,1,0.7,0.7,9.4,0,-8,True,True
22,B,block_15,3,67,7,1,1.0,1.0,11.0,10,2,False,False
22,B,block_15,5,67,7,1,1.0,1.0,12.0,10,4,False,False
22,B,block_15,10,67,7,1,0.7,0.7,9.4,0,-8,True,True
22,B,block_20,3,67,7,1,1.0,1.0,11.0,10,2,False,False
22,B,block_20,5,67,7,1,1.0,1.0,12.0,10,4,False,False
22,B,block_20,10,67,7,1,0.7,0.7,9.4,0,-8,True,True
23,B,block_3,3,61,9,1,1.0,1.0,11.0,10,2,False,False
23,B,block_3,5,61,9,1,1.0,1.0,12.0,10,4,False,False
23,B,block_3,10,61,9,1,0.9,0.9,12.6,0,-10,True,True
23,B,block_5,3,62,8,1,1.0,1.0,11.0,10,2,False,False
23,B,block_5,5,62,8,1,1.0,1.0,12.0,10,4,False,False
23,B,block_5,10,62,8,1,0.8,0.8,10.8,0,-10,True,True
23,B,block_10,3,64,6,1,1.0,1.0,11.0,10,2,False,False
23,B,block_10,5,64,6,1,1.0,1.0,12.0,10,4,False,False
23,B,block_10,10,64,6,1,0.6,0.6,7.6,0,-9,True,True
23,B,block_15,3,67,3,1,1.0,1.0,11.0,10,2,False,False
23,B,block_15,5,67,3,1,0.6,0.6,6.6,0,-10,True,True
23,B,block_15,10,67,3,1,0.3,0.3,4.3,0,-6,True,True
23,B,block_20,3,69,1,1,0.3333333333333333,0.3333333333333333,3.3333333333333335,0,-10,True,True
23,B,block_20,5,69,1,1,0.2,0.2,2.2,0,-9,True,True
23,B,block_20,10,69,1,1,0.1,0.3,3.1,0,-4,True,True
