H,rule,precision,recall,f1,tp,fp,fn,tn
3,early_locked_fraction_H < 0.8,1.0,0.07894736842105263,0.14634146341463414,6,0,70,170
3,early_min_run_length_H < 10,1.0,0.07894736842105263,0.14634146341463414,6,0,70,170
3,early_state_drop_H == True,1.0,0.07894736842105263,0.14634146341463414,6,0,70,170
3,early_below_persistent_H == True,1.0,0.07894736842105263,0.14634146341463414,6,0,70,170
5,early_locked_fraction_H < 0.8,1.0,0.13157894736842105,0.23255813953488372,10,0,66,170
5,early_min_run_length_H < 10,1.0,0.15789473684210525,0.2727272727272727,12,0,64,170
5,early_state_drop_H == True,1.0,0.15789473684210525,0.2727272727272727,12,0,64,170
5,early_below_persistent_H == True,1.0,0.15789473684210525,0.2727272727272727,12,0,64,170
10,early_locked_fraction_H < 0.8,1.0,0.35526315789473684,0.5242718446601942,27,0,49,170
10,early_min_run_length_H < 10,1.0,0.5131578947368421,0.6782608695652175,39,0,37,170
10,early_state_drop_H == True,1.0,0.5131578947368421,0.6782608695652175,39,0,37,170
10,early_below_persistent_H == True,1.0,0.5131578947368421,0.6782608695652175,39,0,37,170
