run_id,population,attack_mode,relock_window,first_drop_window,relock_to_drop_latency,drop_position_fraction,post_relock_max_duration,secondary_drop_count,secondary_drop_rate,labels
1,A,block_3,64.0,,22.0,1.0,22,0.0,0.0,stable_floor
1,A,block_5,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
1,A,block_10,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
1,A,block_15,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
1,A,block_20,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
2,A,block_3,49.0,61.0,12.0,0.32432432432432434,14,1.0,0.02702702702702703,oscillatory
2,A,block_5,50.0,61.0,11.0,0.3055555555555556,14,1.0,0.027777777777777776,oscillatory
2,A,block_10,52.0,61.0,9.0,0.2647058823529412,14,1.0,0.029411764705882353,early_break;oscillatory
2,A,block_15,55.0,61.0,6.0,0.1935483870967742,14,1.0,0.03225806451612903,early_break;oscillatory
2,A,block_20,57.0,61.0,4.0,0.13793103448275862,14,1.0,0.034482758620689655,early_break;oscillatory
3,A,block_3,56.0,75.0,19.0,0.6333333333333333,19,1.0,0.03333333333333333,oscillatory
3,A,block_5,57.0,75.0,18.0,0.6206896551724138,18,1.0,0.034482758620689655,oscillatory
3,A,block_10,59.0,75.0,16.0,0.5925925925925926,16,1.0,0.037037037037037035,oscillatory
3,A,block_15,62.0,75.0,13.0,0.5416666666666666,13,1.0,0.041666666666666664,oscillatory
3,A,block_20,64.0,75.0,11.0,0.5,11,1.0,0.045454545454545456,oscillatory
4,A,block_3,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
4,A,block_5,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
4,A,block_10,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
4,A,block_15,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
4,A,block_20,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
5,A,block_3,64.0,,22.0,1.0,22,0.0,0.0,stable_floor
5,A,block_5,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
5,A,block_10,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
5,A,block_15,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
5,A,block_20,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
6,A,block_3,79.0,,7.0,1.0,7,0.0,0.0,stable_floor
6,A,block_5,80.0,,6.0,1.0,6,0.0,0.0,stable_floor
6,A,block_10,83.0,,3.0,1.0,3,0.0,0.0,stable_floor
6,A,block_15,85.0,,1.0,1.0,1,0.0,0.0,stable_floor
6,A,block_20,,,,,0,,,none
7,A,block_3,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
7,A,block_5,64.0,,22.0,1.0,22,0.0,0.0,stable_floor
7,A,block_10,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
7,A,block_15,69.0,,17.0,1.0,17,0.0,0.0,stable_floor
7,A,block_20,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
8,A,block_3,61.0,,25.0,1.0,25,0.0,0.0,stable_floor
8,A,block_5,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
8,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
8,A,block_15,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
8,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
9,A,block_3,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
9,A,block_5,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
9,A,block_10,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
9,A,block_15,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
9,A,block_20,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
10,A,block_3,60.0,83.0,23.0,0.8846153846153846,23,1.0,0.038461538461538464,stable_floor;oscillatory
10,A,block_5,61.0,83.0,22.0,0.88,22,1.0,0.04,stable_floor;oscillatory
