run_id,attack_size,n_target_windows,effective_replace,exhausted_fraction,trigger_sample,delay,status
1,10,4,4,1.0,350,190,triggered
1,20,4,4,1.0,350,190,triggered
1,30,4,4,1.0,350,190,triggered
1,40,4,4,1.0,350,190,triggered
1,50,4,4,1.0,350,190,triggered
1,all_pre_trigger,4,4,1.0,350,190,triggered
2,10,4,4,1.0,290,130,triggered
2,20,4,4,1.0,290,130,triggered
2,30,4,4,1.0,290,130,triggered
2,40,4,4,1.0,290,130,triggered
2,50,4,4,1.0,290,130,triggered
2,all_pre_trigger,4,4,1.0,290,130,triggered
3,10,4,4,1.0,290,130,triggered
3,20,4,4,1.0,290,130,triggered
3,30,4,4,1.0,290,130,triggered
3,40,4,4,1.0,290,130,triggered
3,50,4,4,1.0,290,130,triggered
3,all_pre_trigger,4,4,1.0,290,130,triggered
4,10,4,4,1.0,310,150,triggered
4,20,4,4,1.0,310,150,triggered
4,30,4,4,1.0,310,150,triggered
4,40,4,4,1.0,310,150,triggered
4,50,4,4,1.0,310,150,triggered
4,all_pre_trigger,4,4,1.0,310,150,triggered
5,10,4,4,1.0,350,190,triggered
5,20,4,4,1.0,350,190,triggered
5,30,4,4,1.0,350,190,triggered
5,40,4,4,1.0,350,190,triggered
5,50,4,4,1.0,350,190,triggered
5,all_pre_trigger,4,4,1.0,350,190,triggered
6,10,8,8,1.0,370,210,triggered
6,20,8,8,1.0,370,210,triggered
6,30,8,8,1.0,370,210,triggered
6,40,8,8,1.0,370,210,triggered
6,50,8,8,1.0,370,210,triggered
6,all_pre_trigger,8,8,1.0,370,210,triggered
7,10,4,4,1.0,320,160,triggered
7,20,4,4,1.0,320,160,triggered
7,30,4,4,1.0,320,160,triggered
7,40,4,4,1.0,320,160,triggered
7,50,4,4,1.0,320,160,triggered
7,all_pre_trigger,4,4,1.0,320,160,triggered
8,10,0,0,0.0,250,90,no_replacement
8,20,0,0,0.0,250,90,no_replacement
8,30,0,0,0.0,250,90,no_replacement
8,40,0,0,0.0,250,90,no_replacement
8,50,0,0,0.0,250,90,no_replacement
8,all_pre_trigger,0,0,0.0,250,90,no_replacement
9,10,4,4,1.0,310,150,triggered
9,20,4,4,1.0,310,150,triggered
9,30,4,4,1.0,310,150,triggered
9,40,4,4,1.0,310,150,triggered
9,50,4,4,1.0,310,150,triggered
9,all_pre_trigger,4,4,1.0,310,150,triggered
10,10,4,4,1.0,290,130,triggered
10,20,4,4,1.0,290,130,triggered
10,30,4,4,1.0,290,130,triggered
10,40,4,4,1.0,290,130,triggered
10,50,4,4,1.0,290,130,triggered
10,all_pre_trigger,4,4,1.0,290,130,triggered
11,10,4,4,1.0,310,150,triggered
11,20,4,4,1.0,310,150,triggered
11,30,4,4,1.0,310,150,triggered
11,40,4,4,1.0,310,150,triggered
11,50,4,4,1.0,310,150,triggered
11,all_pre_trigger,4,4,1.0,310,150,triggered
12,10,4,4,1.0,350,190,triggered
12,20,4,4,1.0,350,190,triggered
12,30,4,4,1.0,350,190,triggered
12,40,4,4,1.0,350,190,triggered
12,50,4,4,1.0,350,190,triggered
12,all_pre_trigger,4,4,1.0,350,190,triggered
13,10,5,5,1.0,350,190,triggered
13,20,5,5,1.0,350,190,triggered
13,30,5,5,1.0,350,190,triggered
13,40,5,5,1.0,350,190,triggered
13,50,5,5,1.0,350,190,triggered
13,all_pre_trigger,5,5,1.0,350,190,triggered
14,10,4,4,1.0,360,200,triggered
14,20,4,4,1.0,360,200,triggered
14,30,4,4,1.0,360,200,triggered
14,40,4,4,1.0,360,200,triggered
14,50,4,4,1.0,360,200,triggered
14,all_pre_trigger,4,4,1.0,360,200,triggered
15,10,4,4,1.0,290,130,triggered
15,20,4,4,1.0,290,130,triggered
15,30,4,4,1.0,290,130,triggered
15,40,4,4,1.0,290,130,triggered
15,50,4,4,1.0,290,130,triggered
15,all_pre_trigger,4,4,1.0,290,130,triggered
16,10,4,4,1.0,340,180,triggered
16,20,4,4,1.0,340,180,triggered
16,30,4,4,1.0,340,180,triggered
16,40,4,4,1.0,340,180,triggered
16,50,4,4,1.0,340,180,triggered
16,all_pre_trigger,4,4,1.0,340,180,triggered
17,10,0,0,0.0,250,90,no_replacement
17,20,0,0,0.0,250,90,no_replacement
17,30,0,0,0.0,250,90,no_replacement
17,40,0,0,0.0,250,90,no_replacement
17,50,0,0,0.0,250,90,no_replacement
17,all_pre_trigger,0,0,0.0,250,90,no_replacement
18,10,6,6,1.0,400,240,triggered
18,20,9,9,1.0,400,240,triggered
18,30,9,9,1.0,400,240,triggered
18,40,9,9,1.0,400,240,triggered
18,50,9,9,1.0,400,240,triggered
18,all_pre_trigger,9,9,1.0,400,240,triggered
19,10,4,4,1.0,300,140,triggered
19,20,4,4,1.0,300,140,triggered
