run_id,replace_count,n_target_windows,trigger_sample,delay,status
1,1,4,350.0,190.0,triggered
1,2,4,340.0,180.0,triggered
1,3,4,350.0,190.0,triggered
1,4,4,350.0,190.0,triggered
2,1,4,290.0,130.0,triggered
2,2,4,290.0,130.0,triggered
2,3,4,280.0,120.0,triggered
2,4,4,290.0,130.0,triggered
3,1,4,280.0,120.0,triggered
3,2,4,280.0,120.0,triggered
3,3,4,290.0,130.0,triggered
3,4,4,290.0,130.0,triggered
4,1,4,300.0,140.0,triggered
4,2,4,310.0,150.0,triggered
4,3,4,310.0,150.0,triggered
4,4,4,310.0,150.0,triggered
5,1,4,330.0,170.0,triggered
5,2,4,350.0,190.0,triggered
5,3,4,350.0,190.0,triggered
5,4,4,350.0,190.0,triggered
6,1,8,330.0,170.0,triggered
6,2,8,360.0,200.0,triggered
6,3,8,330.0,170.0,triggered
6,4,8,370.0,210.0,triggered
7,1,4,310.0,150.0,triggered
7,2,4,300.0,140.0,triggered
7,3,4,320.0,160.0,triggered
7,4,4,320.0,160.0,triggered
8,1,4,,,skip
8,2,4,,,skip
8,3,4,,,skip
8,4,4,,,skip
9,1,4,300.0,140.0,triggered
9,2,4,300.0,140.0,triggered
9,3,4,300.0,140.0,triggered
9,4,4,310.0,150.0,triggered
10,1,4,280.0,120.0,triggered
10,2,4,280.0,120.0,triggered
10,3,4,280.0,120.0,triggered
10,4,4,290.0,130.0,triggered
11,1,4,290.0,130.0,triggered
11,2,4,310.0,150.0,triggered
11,3,4,310.0,150.0,triggered
11,4,4,310.0,150.0,triggered
12,1,4,350.0,190.0,triggered
12,2,4,350.0,190.0,triggered
12,3,4,350.0,190.0,triggered
12,4,4,350.0,190.0,triggered
13,1,5,310.0,150.0,triggered
13,2,5,320.0,160.0,triggered
13,3,5,350.0,190.0,triggered
13,4,5,350.0,190.0,triggered
14,1,4,360.0,200.0,triggered
14,2,4,360.0,200.0,triggered
14,3,4,360.0,200.0,triggered
14,4,4,360.0,200.0,triggered
15,1,4,260.0,100.0,triggered
15,2,4,280.0,120.0,triggered
15,3,4,280.0,120.0,triggered
15,4,4,290.0,130.0,triggered
16,1,4,310.0,150.0,triggered
16,2,4,340.0,180.0,triggered
16,3,4,340.0,180.0,triggered
16,4,4,340.0,180.0,triggered
17,1,4,,,skip
17,2,4,,,skip
17,3,4,,,skip
17,4,4,,,skip
18,1,6,400.0,240.0,triggered
18,2,6,360.0,200.0,triggered
18,3,6,400.0,240.0,triggered
18,4,6,400.0,240.0,triggered
19,1,4,290.0,130.0,triggered
19,2,4,300.0,140.0,triggered
19,3,4,290.0,130.0,triggered
19,4,4,300.0,140.0,triggered
20,1,4,,,skip
20,2,4,,,skip
20,3,4,,,skip
20,4,4,,,skip
21,1,4,340.0,180.0,triggered
21,2,4,360.0,200.0,triggered
21,3,4,360.0,200.0,triggered
21,4,4,360.0,200.0,triggered
22,1,4,290.0,130.0,triggered
22,2,4,280.0,120.0,triggered
22,3,4,290.0,130.0,triggered
22,4,4,290.0,130.0,triggered
23,1,4,270.0,110.0,triggered
23,2,4,280.0,120.0,triggered
23,3,4,290.0,130.0,triggered
23,4,4,290.0,130.0,triggered
24,1,4,290.0,130.0,triggered
24,2,4,290.0,130.0,triggered
24,3,4,280.0,120.0,triggered
24,4,4,290.0,130.0,triggered
25,1,5,330.0,170.0,triggered
25,2,5,350.0,190.0,triggered
25,3,5,370.0,210.0,triggered
25,4,5,370.0,210.0,triggered
26,1,6,420.0,260.0,triggered
26,2,6,430.0,270.0,triggered
26,3,6,450.0,290.0,triggered
26,4,6,440.0,280.0,triggered
27,1,4,290.0,130.0,triggered
27,2,4,280.0,120.0,triggered
27,3,4,300.0,140.0,triggered
27,4,4,300.0,140.0,triggered
28,1,4,370.0,210.0,triggered
28,2,4,370.0,210.0,triggered
28,3,4,370.0,210.0,triggered
28,4,4,370.0,210.0,triggered
29,1,4,370.0,210.0,triggered
29,2,4,370.0,210.0,triggered
29,3,4,360.0,200.0,triggered
29,4,4,370.0,210.0,triggered
30,1,4,340.0,180.0,triggered
30,2,4,410.0,250.0,triggered
30,3,4,410.0,250.0,triggered
30,4,4,410.0,250.0,triggered
31,1,4,,,skip
31,2,4,,,skip
31,3,4,,,skip
31,4,4,,,skip
32,1,4,310.0,150.0,triggered
32,2,4,330.0,170.0,triggered
32,3,4,330.0,170.0,triggered
32,4,4,330.0,170.0,triggered
33,1,4,,,skip
33,2,4,,,skip
33,3,4,,,skip
33,4,4,,,skip
34,1,4,260.0,100.0,triggered
34,2,4,280.0,120.0,triggered
34,3,4,290.0,130.0,triggered
34,4,4,290.0,130.0,triggered
35,1,4,320.0,160.0,triggered
35,2,4,310.0,150.0,triggered
35,3,4,320.0,160.0,triggered
35,4,4,320.0,160.0,triggered
36,1,4,370.0,210.0,triggered
36,2,4,380.0,220.0,triggered
36,3,4,380.0,220.0,triggered
36,4,4,380.0,220.0,triggered
37,1,4,,,skip
37,2,4,,,skip
37,3,4,,,skip
37,4,4,,,skip
38,1,5,320.0,160.0,triggered
38,2,5,330.0,170.0,triggered
38,3,5,350.0,190.0,triggered
38,4,5,340.0,180.0,triggered
39,1,4,300.0,140.0,triggered
39,2,4,290.0,130.0,triggered
39,3,4,300.0,140.0,triggered
39,4,4,300.0,140.0,triggered
40,1,4,290.0,130.0,triggered
40,2,4,300.0,140.0,triggered
40,3,4,310.0,150.0,triggered
40,4,4,310.0,150.0,triggered
41,1,5,380.0,220.0,triggered
41,2,5,390.0,230.0,triggered
41,3,5,390.0,230.0,triggered
41,4,5,390.0,230.0,triggered
42,1,4,350.0,190.0,triggered
42,2,4,360.0,200.0,triggered
42,3,4,360.0,200.0,triggered
42,4,4,360.0,200.0,triggered
43,1,4,380.0,220.0,triggered
43,2,4,370.0,210.0,triggered
43,3,4,370.0,210.0,triggered
43,4,4,380.0,220.0,triggered
44,1,4,270.0,110.0,triggered
44,2,4,280.0,120.0,triggered
44,3,4,290.0,130.0,triggered
44,4,4,290.0,130.0,triggered
45,1,4,,,skip
45,2,4,,,skip
45,3,4,,,skip
45,4,4,,,skip
46,1,4,,,skip
46,2,4,,,skip
46,3,4,,,skip
46,4,4,,,skip
47,1,4,300.0,140.0,triggered
47,2,4,310.0,150.0,triggered
47,3,4,310.0,150.0,triggered
47,4,4,310.0,150.0,triggered
48,1,4,310.0,150.0,triggered
48,2,4,320.0,160.0,triggered
48,3,4,320.0,160.0,triggered
48,4,4,320.0,160.0,triggered
49,1,4,290.0,130.0,triggered
49,2,4,280.0,120.0,triggered
49,3,4,280.0,120.0,triggered
49,4,4,290.0,130.0,triggered
50,1,5,390.0,230.0,triggered
50,2,5,430.0,270.0,triggered
50,3,5,420.0,260.0,triggered
50,4,5,430.0,270.0,triggered
