run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_time_windows,relock_time_samples,recovery_horizon,horizon_margin
1,block_15,15,15,46.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
1,block_20,20,20,44.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
1,block_30,30,30,39.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
2,block_15,15,15,31.0,45.0,46.0,relocked,55.0,10.0,100.0,40.0,4.0
2,block_20,20,20,28.0,47.0,48.0,relocked,57.0,10.0,100.0,38.0,3.8
2,block_30,30,30,23.0,52.0,53.0,relocked,72.0,20.0,200.0,33.0,3.3
3,block_15,15,15,38.0,52.0,53.0,relocked,62.0,10.0,100.0,33.0,3.3
3,block_20,20,20,35.0,54.0,55.0,relocked,64.0,10.0,100.0,31.0,3.1
3,block_30,30,30,30.0,59.0,60.0,relocked,69.0,10.0,100.0,26.0,2.6
4,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
4,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
4,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
5,block_15,15,15,46.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
5,block_20,20,20,44.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
5,block_30,30,30,39.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
6,block_15,15,15,61.0,75.0,76.0,relocked,85.0,10.0,100.0,10.0,1.0
6,block_20,20,20,59.0,78.0,79.0,no_relock,,,,7.0,0.7
6,block_30,30,30,54.0,83.0,84.0,no_relock,,,,2.0,0.2
7,block_15,15,15,45.0,59.0,60.0,relocked,69.0,10.0,100.0,26.0,2.6
7,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
7,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
8,block_15,15,0,,,,no_replacement,,,,,
8,block_20,20,0,,,,no_replacement,,,,,
8,block_30,30,0,,,,no_replacement,,,,,
9,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
9,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
9,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
10,block_15,15,15,42.0,56.0,57.0,relocked,66.0,10.0,100.0,29.0,2.9
10,block_20,20,20,39.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
10,block_30,30,30,34.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
11,block_15,15,15,29.0,43.0,44.0,relocked,53.0,10.0,100.0,42.0,4.2
11,block_20,20,20,26.0,45.0,46.0,relocked,67.0,22.0,220.0,40.0,4.0
11,block_30,30,30,21.0,50.0,51.0,relocked,67.0,17.0,170.0,35.0,3.5
12,block_15,15,15,54.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
12,block_20,20,20,52.0,71.0,72.0,relocked,81.0,10.0,100.0,14.0,1.4
12,block_30,30,30,47.0,76.0,77.0,no_relock,,,,9.0,0.9
13,block_15,15,15,46.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
13,block_20,20,20,44.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
13,block_30,30,30,39.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
14,block_15,15,15,62.0,76.0,77.0,no_relock,,,,9.0,0.9
14,block_20,20,20,60.0,79.0,80.0,no_relock,,,,6.0,0.6
14,block_30,30,30,55.0,84.0,85.0,no_relock,,,,1.0,0.1
15,block_15,15,15,27.0,41.0,42.0,relocked,51.0,10.0,100.0,44.0,4.4
15,block_20,20,20,25.0,44.0,45.0,relocked,64.0,20.0,200.0,41.0,4.1
15,block_30,30,30,20.0,49.0,50.0,relocked,64.0,15.0,150.0,36.0,3.6
16,block_15,15,15,41.0,55.0,56.0,relocked,65.0,10.0,100.0,30.0,3.0
16,block_20,20,20,39.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
16,block_30,30,30,34.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
17,block_15,15,0,,,,no_replacement,,,,,
17,block_20,20,0,,,,no_replacement,,,,,
17,block_30,30,0,,,,no_replacement,,,,,
18,block_15,15,15,49.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
18,block_20,20,20,46.0,65.0,66.0,relocked,75.0,10.0,100.0,20.0,2.0
18,block_30,30,30,41.0,70.0,71.0,relocked,80.0,10.0,100.0,15.0,1.5
19,block_15,15,15,38.0,52.0,53.0,relocked,62.0,10.0,100.0,33.0,3.3
19,block_20,20,20,35.0,54.0,55.0,relocked,64.0,10.0,100.0,31.0,3.1
19,block_30,30,30,30.0,59.0,60.0,relocked,69.0,10.0,100.0,26.0,2.6
20,block_15,15,0,,,,no_replacement,,,,,
20,block_20,20,0,,,,no_replacement,,,,,
20,block_30,30,0,,,,no_replacement,,,,,
21,block_15,15,15,51.0,65.0,66.0,relocked,75.0,10.0,100.0,20.0,2.0
21,block_20,20,20,48.0,67.0,68.0,relocked,77.0,10.0,100.0,18.0,1.8
21,block_30,30,30,43.0,72.0,73.0,relocked,82.0,10.0,100.0,13.0,1.3
22,block_15,15,15,19.0,33.0,34.0,relocked,67.0,34.0,340.0,52.0,5.2
22,block_20,20,20,17.0,36.0,37.0,relocked,67.0,31.0,310.0,49.0,4.9
22,block_30,30,22,16.0,37.0,38.0,relocked,67.0,30.0,300.0,48.0,4.8
23,block_15,15,15,43.0,57.0,58.0,relocked,67.0,10.0,100.0,28.0,2.8
