run_id,mode,relock_window,n_recovery_windows,post_relock_locked_fraction,secondary_lock_drop_rate,post_relock_max_duration,recovery_quality_score,quality_class
1,block_3,64,22,1.0,0.0,22,1.0,stable
1,block_5,65,21,1.0,0.0,21,1.0,stable
1,block_10,68,18,1.0,0.0,18,1.0,stable
2,block_3,49,37,0.7027027027027027,0.2972972972972973,14,0.493791088385683,fragile
2,block_5,50,36,0.6944444444444444,0.3055555555555556,14,0.48225308641975306,fragile
2,block_10,52,34,0.6764705882352942,0.3235294117647059,14,0.4576124567474049,fragile
3,block_3,56,30,0.6333333333333333,0.36666666666666664,19,0.4011111111111111,fragile
3,block_5,57,29,0.6206896551724138,0.3793103448275862,18,0.38525564803804996,fragile
3,block_10,59,27,0.5925925925925926,0.4074074074074074,16,0.3511659807956104,fragile
4,block_3,62,24,1.0,0.0,24,1.0,stable
4,block_5,63,23,1.0,0.0,23,1.0,stable
4,block_10,66,20,1.0,0.0,20,1.0,stable
5,block_3,64,22,1.0,0.0,22,1.0,stable
5,block_5,65,21,1.0,0.0,21,1.0,stable
5,block_10,68,18,1.0,0.0,18,1.0,stable
6,block_3,79,7,1.0,0.0,7,1.0,stable
6,block_5,80,6,1.0,0.0,6,1.0,stable
6,block_10,83,3,1.0,0.0,3,1.0,stable
7,block_3,63,23,1.0,0.0,23,1.0,stable
7,block_5,64,22,1.0,0.0,22,1.0,stable
7,block_10,66,20,1.0,0.0,20,1.0,stable
9,block_3,62,24,1.0,0.0,24,1.0,stable
9,block_5,63,23,1.0,0.0,23,1.0,stable
9,block_10,66,20,1.0,0.0,20,1.0,stable
10,block_3,60,26,0.8846153846153846,0.11538461538461539,23,0.7825443786982248,stable
10,block_5,61,25,0.88,0.12,22,0.7744,stable
10,block_10,63,23,0.8695652173913043,0.13043478260869565,20,0.7561436672967864,stable
11,block_3,47,39,0.6923076923076923,0.3076923076923077,19,0.4792899408284023,fragile
11,block_5,48,38,0.6842105263157895,0.3157894736842105,19,0.46814404432132967,fragile
11,block_10,50,36,0.6666666666666666,0.3333333333333333,19,0.4444444444444445,fragile
12,block_3,72,14,1.0,0.0,14,1.0,stable
12,block_5,73,13,1.0,0.0,13,1.0,stable
12,block_10,76,10,1.0,0.0,10,1.0,stable
13,block_3,64,22,1.0,0.0,22,1.0,stable
13,block_5,65,21,1.0,0.0,21,1.0,stable
13,block_10,68,18,1.0,0.0,18,1.0,stable
14,block_3,80,6,1.0,0.0,6,1.0,stable
14,block_5,81,5,1.0,0.0,5,1.0,stable
14,block_10,84,2,1.0,0.0,2,1.0,stable
15,block_3,45,41,0.2926829268292683,0.7073170731707317,9,0.08566329565734683,collapse
15,block_5,46,40,0.275,0.725,8,0.07562500000000001,collapse
15,block_10,49,37,0.21621621621621623,0.7837837837837838,5,0.04674945215485757,collapse
16,block_3,59,27,0.6666666666666666,0.3333333333333333,18,0.4444444444444445,fragile
16,block_5,60,26,0.6538461538461539,0.34615384615384615,17,0.4275147928994083,fragile
16,block_10,63,23,0.6086956521739131,0.391304347826087,14,0.37051039697542537,fragile
18,block_3,67,19,1.0,0.0,19,1.0,stable
18,block_5,68,18,1.0,0.0,18,1.0,stable
18,block_10,70,16,1.0,0.0,16,1.0,stable
