run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_sample,relock_time_windows,relock_time_samples,max_recovered_lock,baseline_duration,residual_damage
1,block_3,3,3,52.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,22,60.0,0.6333333333333333
1,block_5,5,5,51.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,60.0,0.65
1,block_10,10,10,49.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,60.0,0.7
2,block_3,3,3,37.0,39.0,40.0,relocked,49.0,590.0,10.0,100.0,14,41.0,0.6585365853658536
2,block_5,5,5,36.0,40.0,41.0,relocked,50.0,600.0,10.0,100.0,14,41.0,0.6585365853658536
2,block_10,10,10,33.0,42.0,43.0,relocked,52.0,620.0,10.0,100.0,14,41.0,0.6585365853658536
3,block_3,3,3,44.0,46.0,47.0,relocked,56.0,660.0,10.0,100.0,19,55.0,0.6545454545454545
3,block_5,5,5,43.0,47.0,48.0,relocked,57.0,670.0,10.0,100.0,18,55.0,0.6727272727272727
3,block_10,10,10,40.0,49.0,50.0,relocked,59.0,690.0,10.0,100.0,16,55.0,0.7090909090909091
4,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,64.0,0.625
4,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,64.0,0.640625
4,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,64.0,0.6875
5,block_3,3,3,52.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,22,60.0,0.6333333333333333
5,block_5,5,5,51.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,60.0,0.65
5,block_10,10,10,49.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,60.0,0.7
6,block_3,3,3,67.0,69.0,70.0,relocked,79.0,890.0,10.0,100.0,7,25.0,0.72
6,block_5,5,5,66.0,70.0,71.0,relocked,80.0,900.0,10.0,100.0,6,25.0,0.76
6,block_10,10,10,64.0,73.0,74.0,relocked,83.0,930.0,10.0,100.0,3,25.0,0.88
7,block_3,3,3,51.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,63.0,0.6349206349206349
7,block_5,5,5,50.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,22,63.0,0.6507936507936508
7,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,63.0,0.6825396825396826
8,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
8,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
8,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
9,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,64.0,0.625
9,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,64.0,0.640625
9,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,64.0,0.6875
10,block_3,3,3,48.0,50.0,51.0,relocked,60.0,700.0,10.0,100.0,23,63.0,0.6349206349206349
10,block_5,5,5,47.0,51.0,52.0,relocked,61.0,710.0,10.0,100.0,22,63.0,0.6507936507936508
10,block_10,10,10,44.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,20,63.0,0.6825396825396826
11,block_3,3,3,35.0,37.0,38.0,relocked,47.0,570.0,10.0,100.0,19,33.0,0.4242424242424242
11,block_5,5,5,34.0,38.0,39.0,relocked,48.0,580.0,10.0,100.0,19,33.0,0.4242424242424242
