population,attack_mode,mean_quality,mean_locked_fraction,mean_drop_rate,stable_fraction,fragile_fraction,collapse_fraction,mean_relock,delta_quality,delta_relock,labels
A,block_3,0.8874377372761454,0.9333229275971212,0.06667707240287886,0.8181818181818182,0.18181818181818182,0.0,1.0,0.7065934160213666,0.0,persistent_separation
B,block_3,0.18084432125477878,0.4078623705579793,0.5921376294420208,0.0,0.0,1.0,1.0,0.7065934160213666,0.0,persistent_separation
A,block_5,0.884286874621495,0.931029866844887,0.06897013315511304,0.8181818181818182,0.18181818181818182,0.0,1.0,0.686122995438171,0.0,persistent_separation
B,block_5,0.19816387918332404,0.4377943507895404,0.5622056492104596,0.0,0.0,1.0,1.0,0.686122995438171,0.0,persistent_separation
A,block_10,0.8758541748712833,0.9247334982222217,0.07526650177777822,0.7954545454545454,0.20454545454545456,0.0,1.0,0.7151191599870104,0.0,persistent_separation
B,block_10,0.16073501488427291,0.390344154817839,0.6096558451821609,0.0,0.0,1.0,1.0,0.7151191599870104,0.0,persistent_separation
A,block_15,0.8428450705421646,0.8938980089854067,0.10610199101459328,0.7727272727272727,0.1590909090909091,0.06818181818181818,0.9772727272727273,0.7144410993815319,-0.022727272727272707,persistent_separation
B,block_15,0.12840397116063276,0.3444134812555865,0.6555865187444135,0.0,0.0,1.0,1.0,0.7144410993815319,-0.022727272727272707,persistent_separation
A,block_20,0.8001524007588787,0.8476521057248072,0.15234789427519266,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.9318181818181818,0.7078539511546128,-0.06818181818181823,persistent_separation
B,block_20,0.09229844960426588,0.28164771962456714,0.718352280375433,0.0,0.0,1.0,1.0,0.7078539511546128,-0.06818181818181823,persistent_separation
