subset_id,subset_size,variables,delta_mass,f13_mass,regions_present,propagation_chain_score
4,5,"xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_31",0.5462647887741365,0.6855864796695946,"separator,stripper",2
5,5,"xmeas_11,xmeas_26,xmeas_32,xmeas_38,xmeas_7",0.6725402216300354,0.8095312083711086,"reactor,separator",2
27,5,"xmeas_13,xmeas_18,xmeas_19,xmeas_26,xmeas_28",0.5887511102828477,0.731386415113863,stripper,1
45,5,"xmeas_11,xmeas_13,xmeas_2,xmeas_41,xmeas_8",0.6663406489513433,0.7927233735671224,"feed/recycle,reactor,separator",2
53,5,"xmeas_18,xmeas_29,xmeas_33,xmeas_36,xmeas_7",0.5075905888546742,0.6606180809553389,"reactor,stripper",2
56,5,"xmeas_15,xmeas_16,xmeas_18,xmeas_38,xmeas_5",0.6204582518324008,0.7468221460161814,"feed/recycle,stripper",1
70,5,"xmeas_10,xmeas_17,xmeas_18,xmeas_25,xmeas_7",0.5272246344063404,0.663605064709028,"reactor,separator,stripper",3
2,8,"xmeas_10,xmeas_16,xmeas_19,xmeas_20,xmeas_23,xmeas_25,xmeas_29,xmeas_35",0.3077042906408267,0.3851318849202204,"separator,stripper",2
4,8,"xmeas_11,xmeas_13,xmeas_26,xmeas_35,xmeas_36,xmeas_37,xmeas_4,xmeas_5",0.6565508106812018,0.7193580051718201,"feed/recycle,separator",1
7,8,"xmeas_12,xmeas_15,xmeas_16,xmeas_20,xmeas_21,xmeas_22,xmeas_25,xmeas_8",0.3195483483257293,0.377436223226774,"reactor,stripper",2
11,8,"xmeas_13,xmeas_18,xmeas_19,xmeas_3,xmeas_32,xmeas_36,xmeas_39,xmeas_40",0.5743964565131208,0.6475554151526485,"feed/recycle,stripper",1
15,8,"xmeas_11,xmeas_20,xmeas_22,xmeas_25,xmeas_40,xmeas_7,xmeas_8,xmeas_9",0.6847391102964673,0.7388080647144979,"reactor,separator",2
20,8,"xmeas_1,xmeas_11,xmeas_12,xmeas_17,xmeas_21,xmeas_22,xmeas_5,xmeas_7",0.6836926580673324,0.7400998351629281,"feed/recycle,reactor,separator",2
27,8,"xmeas_1,xmeas_11,xmeas_16,xmeas_21,xmeas_28,xmeas_31,xmeas_37,xmeas_8",0.5954409905539086,0.6591405271763318,"feed/recycle,reactor,separator,stripper",3
30,8,"xmeas_11,xmeas_16,xmeas_21,xmeas_23,xmeas_29,xmeas_34,xmeas_5,xmeas_6",0.5950389259392685,0.6603209507423653,"feed/recycle,separator,stripper",2
42,8,"xmeas_17,xmeas_18,xmeas_19,xmeas_2,xmeas_29,xmeas_32,xmeas_34,xmeas_8",0.5033930098352567,0.5699686556152582,"feed/recycle,reactor,stripper",2
50,8,"xmeas_11,xmeas_19,xmeas_23,xmeas_29,xmeas_3,xmeas_41,xmeas_6,xmeas_7",0.6785757276123331,0.7374366906318208,"feed/recycle,reactor,separator,stripper",3
58,8,"xmeas_1,xmeas_11,xmeas_13,xmeas_16,xmeas_17,xmeas_22,xmeas_23,xmeas_37",0.5647725501122158,0.6168158769452385,"feed/recycle,separator,stripper",2
60,8,"xmeas_15,xmeas_18,xmeas_23,xmeas_29,xmeas_36,xmeas_4,xmeas_7,xmeas_9",0.497237323542459,0.5606734166971177,"feed/recycle,reactor,stripper",2
64,8,"xmeas_11,xmeas_15,xmeas_19,xmeas_20,xmeas_21,xmeas_37,xmeas_4,xmeas_7",0.6809863061976489,0.735970199579296,"feed/recycle,reactor,separator,stripper",3
65,8,"xmeas_11,xmeas_14,xmeas_16,xmeas_26,xmeas_31,xmeas_32,xmeas_41,xmeas_5",0.5987878007501957,0.6621398566003652,"feed/recycle,separator,stripper",2
66,8,"xmeas_11,xmeas_16,xmeas_27,xmeas_33,xmeas_4,xmeas_5,xmeas_8,xmeas_9",0.6021738924494274,0.6610937897880494,"feed/recycle,reactor,separator,stripper",3
70,8,"xmeas_11,xmeas_14,xmeas_20,xmeas_36,xmeas_41,xmeas_6,xmeas_7,xmeas_8",0.6853879803380676,0.7402902053037062,"reactor,separator",2
71,8,"xmeas_16,xmeas_18,xmeas_22,xmeas_3,xmeas_32,xmeas_37,xmeas_40,xmeas_41",0.5734958342516915,0.666899288892793,"feed/recycle,stripper",1
81,8,"xmeas_11,xmeas_24,xmeas_31,xmeas_32,xmeas_34,xmeas_5,xmeas_6,xmeas_7",0.6689657187927166,0.7403561401953607,"feed/recycle,reactor,separator",2
87,8,"xmeas_11,xmeas_12,xmeas_13,xmeas_15,xmeas_25,xmeas_32,xmeas_36,xmeas_9",0.6550889080716394,0.7193148271227209,"reactor,separator",2
90,8,"xmeas_10,xmeas_18,xmeas_19,xmeas_27,xmeas_34,xmeas_39,xmeas_40,xmeas_9",0.4959939617627889,0.5713775076328959,"reactor,separator,stripper",3
91,8,"xmeas_12,xmeas_18,xmeas_19,xmeas_20,xmeas_27,xmeas_32,xmeas_41,xmeas_9",0.4984744020861331,0.5588648184056346,"reactor,stripper",2
95,8,"xmeas_1,xmeas_10,xmeas_18,xmeas_19,xmeas_2,xmeas_3,xmeas_4,xmeas_9",0.5082102876411063,0.5702592302042009,"feed/recycle,reactor,separator,stripper",3
