fault_number,W,S,typical_mass,max_stationary_occupancy,stationary_entropy_norm,typical_edge_count,typical_edge_entropy,self_loop_mass,cycle_mass,dominant_pair,taxonomy_class
0,80,5,0.75,0.22277361206360335,0.9307451654763267,20,0.8241036398436983,0.6688441260607193,0.3311558739392807,XMEAS8-XMEAS9,diffuse_wandering
4,80,5,0.75,0.19141551906221763,0.9450954398880658,21,0.8266978787174316,0.6735433648810892,0.32645663511891077,XMEAS8-XMEAS9,diffuse_wandering
6,80,5,0.75,0.9790873458557049,0.06105259486153694,1,0.0,0.9874440200655478,0.012555979934452233,XMEAS7-XMEAS11,single_edge_attractor
8,80,5,0.75,0.9808358240419958,0.057218014469418016,1,0.0,0.9865344849143018,0.013465515085698154,XMEAS7-XMEAS11,single_edge_attractor
12,80,5,0.75,0.5402115319939896,0.5421380505069001,2,0.9451055646191056,0.8762659265078325,0.12373407349216747,XMEAS9-XMEAS11,metastable_basin
13,80,5,0.75,0.9203989707676524,0.1891440563838918,1,0.0,0.9577706815820666,0.042229318417933426,XMEAS7-XMEAS11,single_edge_attractor
14,80,5,0.75,0.9909278582845047,0.027105232511742437,1,0.0,0.9925505287660267,0.007449471233973326,XMEAS7-XMEAS11,single_edge_attractor
15,80,5,0.75,0.22297026573676454,0.9319611442533479,21,0.8191215451208752,0.6643931824042029,0.33560681759579714,XMEAS8-XMEAS9,diffuse_wandering
16,80,5,0.75,0.22119589359630562,0.94397657470076,20,0.8324458599966996,0.6732278078909526,0.3267721921090474,XMEAS8-XMEAS9,diffuse_wandering
17,80,5,0.75,0.4730475549485903,0.48886230787179885,2,0.998431342392513,0.8645568031120204,0.13544319688797957,XMEAS7-XMEAS11,metastable_basin
18,80,5,0.75,0.7593759535515565,0.32957181935912905,2,0.7028939161359008,0.9435756391879061,0.0564243608120939,XMEAS7-XMEAS11,single_edge_attractor
0,80,5,0.8,0.22277361206360335,0.9307451654763267,29,0.7984887952384047,0.6688441260607193,0.3311558739392807,XMEAS8-XMEAS9,diffuse_wandering
4,80,5,0.8,0.19141551906221763,0.9450954398880658,29,0.8042131979465753,0.6735433648810892,0.32645663511891077,XMEAS8-XMEAS9,diffuse_wandering
6,80,5,0.8,0.9790873458557049,0.06105259486153694,1,0.0,0.9874440200655478,0.012555979934452233,XMEAS7-XMEAS11,single_edge_attractor
8,80,5,0.8,0.9808358240419958,0.057218014469418016,1,0.0,0.9865344849143018,0.013465515085698154,XMEAS7-XMEAS11,single_edge_attractor
12,80,5,0.8,0.5402115319939896,0.5421380505069001,3,0.716104920710254,0.8762659265078325,0.12373407349216747,XMEAS9-XMEAS11,metastable_basin
13,80,5,0.8,0.9203989707676524,0.1891440563838918,1,0.0,0.9577706815820666,0.042229318417933426,XMEAS7-XMEAS11,single_edge_attractor
14,80,5,0.8,0.9909278582845047,0.027105232511742437,1,0.0,0.9925505287660267,0.007449471233973326,XMEAS7-XMEAS11,single_edge_attractor
15,80,5,0.8,0.22297026573676454,0.9319611442533479,29,0.8004843747969003,0.6643931824042029,0.33560681759579714,XMEAS8-XMEAS9,diffuse_wandering
16,80,5,0.8,0.22119589359630562,0.94397657470076,28,0.8067632509050142,0.6732278078909526,0.3267721921090474,XMEAS8-XMEAS9,diffuse_wandering
